id	filename	md5	size	state
6ff62568-3f20-4552-9fd1-b8e4fc21c42c	6ff62568-3f20-4552-9fd1-b8e4fc21c42c/3a2cfc92-dd3d-475c-a841-37542aaa1e8d.rna_seq.augmented_star_gene_counts.tsv	f6aea72d45c29fc1bc22c70ccb91563e	4231149	validated
08c1c957-1ef0-48c2-8131-e1e9f29f9b02	08c1c957-1ef0-48c2-8131-e1e9f29f9b02/6de014e5-5283-42d9-996f-78a3a71202c5.rna_seq.augmented_star_gene_counts.tsv	8df5f757533f5d37141e4068e7b28765	4230433	validated
cec32dbb-d343-44b8-a816-9c616d23c16a	cec32dbb-d343-44b8-a816-9c616d23c16a/4d0dcf46-3239-4079-a378-36805f0b4407.rna_seq.augmented_star_gene_counts.tsv	a1e9b2559cc314cc8828e5aab743aa4d	4219142	validated
f54f00e2-5151-4f3e-a74c-5e2a435d6aa3	f54f00e2-5151-4f3e-a74c-5e2a435d6aa3/3378f445-d5ec-414a-8169-add022e417bc.rna_seq.augmented_star_gene_counts.tsv	937f411c74e5f81cb8590fcd4e0c34b9	4240008	validated
0f230728-5576-43ee-be60-17e9efc5e808	0f230728-5576-43ee-be60-17e9efc5e808/5fb489d1-aaee-42e1-b403-88a58a898e9d.rna_seq.augmented_star_gene_counts.tsv	c26c5408847cfa4ff3ac8cf6147a1ce1	4231328	validated
a6d8287f-24e7-49bf-87e6-e49a00e3aedb	a6d8287f-24e7-49bf-87e6-e49a00e3aedb/758da6a7-fa54-4254-921d-abca1f6cafcc.rna_seq.augmented_star_gene_counts.tsv	2a9017f853b4808626130d88fd0dce3e	4232601	validated
405ee967-a2fb-401b-82d5-f029bc0b2e68	405ee967-a2fb-401b-82d5-f029bc0b2e68/ae420dd3-e666-4c4e-aaa7-fc7ff62f3121.rna_seq.augmented_star_gene_counts.tsv	0e6acf95d004f1fb8d3e86da97c7eed3	4225100	validated
650cd049-8ee7-4191-be99-e8c6740cbf80	650cd049-8ee7-4191-be99-e8c6740cbf80/9f6c5557-6172-4862-94bd-012d27d214b5.rna_seq.augmented_star_gene_counts.tsv	f571ae99deefd66183436a5c1f2e144b	4213292	validated
313811fa-2c41-470b-ab48-555bc74ae3ba	313811fa-2c41-470b-ab48-555bc74ae3ba/ede604e3-31d2-4008-9f54-215b85530191.rna_seq.augmented_star_gene_counts.tsv	0067801b0ce843f012e043e5ab34d1b3	4248615	validated
0bce5c44-d739-43d9-bee3-24e8e1a8c064	0bce5c44-d739-43d9-bee3-24e8e1a8c064/a807144d-b47f-4947-a32e-7911ba746c46.rna_seq.augmented_star_gene_counts.tsv	c154618d9f5ce47068dbef5e8d714680	4241385	validated
8d9e6ce7-fa00-46a9-b90f-a11b907bbe33	8d9e6ce7-fa00-46a9-b90f-a11b907bbe33/d6533c96-de5e-4eb9-8415-690f5365681f.rna_seq.augmented_star_gene_counts.tsv	f5ced1250efe28d8459de256a0793d55	4232993	validated
aea0d82e-1955-43f7-b3c9-4299a2f7a456	aea0d82e-1955-43f7-b3c9-4299a2f7a456/20a46b1c-b901-44cb-96e2-adb083059e03.rna_seq.augmented_star_gene_counts.tsv	7adb5a27c6a56724df1827201251a829	4231551	validated
107d898c-48d8-4e74-a67f-8b0aaea4fe4a	107d898c-48d8-4e74-a67f-8b0aaea4fe4a/39b576cb-7c28-40d1-bf9a-bbdbab43d375.rna_seq.augmented_star_gene_counts.tsv	8572f5e05dd282eda0ce4a734760430a	4230338	validated
2355631d-aa47-43c0-929a-a47e669c365a	2355631d-aa47-43c0-929a-a47e669c365a/8852b207-8d76-47de-afb2-ea8128d09f34.rna_seq.augmented_star_gene_counts.tsv	27620ddc5679c52c3b96856177fc70f6	4247762	validated
28049154-f1db-4b0e-9cbc-4bdd5a745d46	28049154-f1db-4b0e-9cbc-4bdd5a745d46/74335935-98df-47b5-bc64-c5344b25c332.rna_seq.augmented_star_gene_counts.tsv	31a1a8260d214faa67b701a61cf4216f	4246538	validated
4dafb507-f3cc-4f37-9c69-7ba0f3df1ee8	4dafb507-f3cc-4f37-9c69-7ba0f3df1ee8/9d5a9200-526e-47d5-8ad9-615ea8ed5ee1.rna_seq.augmented_star_gene_counts.tsv	7af0985210fc08aa7859b7b96e159b83	4243262	validated
3934d67f-58f0-432d-8c12-72346d31a753	3934d67f-58f0-432d-8c12-72346d31a753/9122326f-ce63-4683-9edb-c1cd0f49fa88.rna_seq.augmented_star_gene_counts.tsv	8d5ae220ccdf903dc6aec003265deebf	4245964	validated
b93f66c9-cf2f-4edb-bd2e-e59860d66845	b93f66c9-cf2f-4edb-bd2e-e59860d66845/bfafd32c-b191-4edf-bacb-da2393f783a2.rna_seq.augmented_star_gene_counts.tsv	94381aef41e02fa912d1a68f28921ee2	4243096	validated
3a3344f6-76e1-43b7-9f23-591642400ae3	3a3344f6-76e1-43b7-9f23-591642400ae3/0cb88be8-91f9-48c3-95f3-02c667df71a5.rna_seq.augmented_star_gene_counts.tsv	c181c3f1d05a942b7801d7dade307577	4218130	validated
d76c021e-8c55-43cd-84ee-9785a323c29a	d76c021e-8c55-43cd-84ee-9785a323c29a/725136f6-c497-4c22-951d-c01a36d9bd7e.rna_seq.augmented_star_gene_counts.tsv	12dd1effade4e1c8898cf31ca728435d	4242432	validated
0fe556bf-dcc8-4a8c-8b5e-b04d82e6211a	0fe556bf-dcc8-4a8c-8b5e-b04d82e6211a/b4920b6f-b84c-4fa3-81e9-87e1d67c804f.rna_seq.augmented_star_gene_counts.tsv	3da8e21d1041bce8f852cad32b4edafc	4232888	validated
f6767fe8-f7a4-4993-a785-b0eaefc2f798	f6767fe8-f7a4-4993-a785-b0eaefc2f798/813197b7-7cc9-4661-8f1d-37bed3fac812.rna_seq.augmented_star_gene_counts.tsv	25c82e7c386de7817bc8a7038c3eba31	4235478	validated
ef3eab99-6232-4f1c-83aa-cc8dcd425c9a	ef3eab99-6232-4f1c-83aa-cc8dcd425c9a/d077ac9a-e7f8-485c-a32b-824d59177f08.rna_seq.augmented_star_gene_counts.tsv	3638decb61a9c285004389fdde4fc3fa	4240193	validated
2cafd44f-2e38-40d5-937a-d122886ef8e7	2cafd44f-2e38-40d5-937a-d122886ef8e7/b7c5a9d4-1fc1-46a5-a86a-e3c4f38f85df.rna_seq.augmented_star_gene_counts.tsv	a795e71d6661fdbee31f7209b5a0f3af	4228641	validated
6931c961-ab7c-49a7-ba4f-d1a91de1d106	6931c961-ab7c-49a7-ba4f-d1a91de1d106/68314319-c717-4d9d-8c11-041f07153aab.rna_seq.augmented_star_gene_counts.tsv	4cafc81945f878304124a65b396c32f7	4251717	validated
24ae1f53-f311-4e0f-9183-b88137a388a9	24ae1f53-f311-4e0f-9183-b88137a388a9/f4e52c8b-5afd-4cc6-b846-2f3b407d8815.rna_seq.augmented_star_gene_counts.tsv	235cb6eac62f9024a7a65042166ce91a	4226504	validated
10d2df0b-08ca-4eff-9e42-b23620a214fe	10d2df0b-08ca-4eff-9e42-b23620a214fe/a350fc85-f426-42c9-9ef7-f7e06b132673.rna_seq.augmented_star_gene_counts.tsv	2e2015d94f36f4449c4db684b5a165eb	4233994	validated
8209a74d-b2f6-490c-b3eb-13c336a364b5	8209a74d-b2f6-490c-b3eb-13c336a364b5/33de433b-98bb-43e2-96fc-11ab317fec48.rna_seq.augmented_star_gene_counts.tsv	d0c30d745f95c891c2401d70284d4ce7	4238515	validated
