"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002715","regulation of natural killer cell mediated immunity","27/2389","55/18842",0.490909090909091,3.87179116404734,8.12723809121851,5.54762439641339e-11,3.83765075893068e-09,3.83765075893068e-09,"KIR2DL4/HAVCR2/SERPINB4/SH2D1B/RAET1G/RAET1E/SLAMF6/ARRB2/HLA-A/HLA-F/IL12B/HLA-C/HLA-G/KLRC1/CRTAM/MICA/KLRC2/NECTIN4/RASGRP1/NCR3/CALHM6/HLA-E/B2M/KLRC4-KLRK1/KLRK1/KLRB1/HLA-B",27
"GO:0050729","positive regulation of inflammatory response","53/2389","166/18842",0.319277108433735,2.51813280749621,7.4861647041045,6.82571089033407e-11,4.65264856347856e-09,4.65264856347856e-09,"TNFRSF11A/PTGER4/CCL5/LBP/IL1RL1/TNIP1/GZMK/IL15/GRN/IFI35/S100A8/SERPINE1/SNCA/IL18/TNF/TRAF2/S100A12/IL33/CD47/TNFRSF1A/GBP2/IL12B/NMI/IL1A/NEAT1/VAMP8/PYCARD/GBP3/NFKBIA/CEBPA/IL1RAP/TLR2/TRADD/IL16/LDLR/OSMR/LGALS2/CCR7/TRPV4/TLR6/MAPK13/BTK/ZBP1/PTGS2/IL17RA/STAT3/NLRP10/HLA-E/ADAM8/AIM2/CASP1/RIPK1/MAPK3",53
"GO:0032944","regulation of mononuclear cell proliferation","60/2389","200/18842",0.3,2.36609460025115,7.40094235446868,6.88402083371828e-11,4.65264856347856e-09,4.65264856347856e-09,"DLG5/CD86/HLA-DPA1/CCL5/ZBTB7B/CD40LG/HAVCR2/IL15/SPN/PDCD1LG2/PLA2G2F/CD38/CD55/IL18/TYK2/SFTPD/LGALS9B/HLA-A/PTPN22/HLA-DRB1/NCK1/SLAMF1/IL12B/HLA-G/RAC2/IL1A/PYCARD/BTLA/TNFRSF1B/CRTAM/TMIGD2/LGALS9C/NCKAP1L/FLT3LG/IRF1/IL12RB2/CD274/BTK/TNFSF9/VSIR/CD6/HLA-DPB1/MZB1/IL12RB1/CD300A/HLA-E/MNDA/CDKN2A/FCGR2B/PTPRC/CCDC88B/PRNP/CD3E/SDC4/SASH3/CD70/TNFRSF14/IL7/JAK2/ANXA1",60
"GO:0051607","defense response to virus","80/2389","305/18842",0.262295081967213,2.06871659038352,7.17018311163772,9.49330264886935e-11,6.34325222447180e-09,6.34325222447180e-09,"IFNK/RNF135/MX1/NMB/MAP3K14/TNFAIP3/TRIM56/TLR8/TRIM15/BST2/SHFL/IFNE/TTC4/DMBT1/HERC5/IRF2/TRIM31/TRIM65/TRAF3IP3/MID2/DDX60/RNF185/TRIM7/RNASE6/TNF/APOBEC3D/OAS3/RNASEL/IFNL3/GBP2/OAS1/NCK1/ILRUN/IFI16/IL12B/BPIFA1/CHMP3/MUL1/VAMP8/ISG20/PYCARD/GBP3/CXCL10/CGAS/APOBEC3A/TRIM35/TLR2/MICA/PLA2G10/STAT1/IRF1/RTP4/PRF1/ZC3H12A/PARP9/IFNL4/PPARA/ZBP1/IL12RB1/IRF5/DDIT4/PTPRC/APOBEC3G/DUOX1/AIM2/CASP1/MLKL/RIOK3/MORC3/MMP12/DHX58/APOBEC3C/CD207/IFIH1/NLRC5/ZNFX1/STING1/DTX3L/F2RL1/PLSCR1",80
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","22/2389","39/18842",0.564102564102564,4.44906676970302,8.21595086177239,9.871611220991e-11,6.52191842465472e-09,6.52191842465472e-09,"HLA-DPA1/HLA-DQB1/HLA-DOA/HLA-DRA/HLA-DQA1/HLA-A/HLA-F/HLA-DRB1/HLA-C/HLA-G/CTSE/HLA-DRB5/HLA-DQB2/PSMB10/HLA-DPB1/CTSS/HLA-E/FCGR2B/B2M/HLA-DOB/HLA-DQA2/HLA-B",22
"GO:0002758","innate immune response-activating signaling pathway","80/2389","306/18842",0.261437908496732,2.06195607865024,7.13668878934375,1.12848658093793e-10,7.37277899546112e-09,7.37277899546112e-09,"IRAK3/RNF135/TNFAIP3/CLEC7A/LILRA4/SRC/TLR8/LILRA2/TRIM15/LBP/TNIP1/P2RX7/IRF2/HAVCR2/TRIM31/TRIM65/TRAF3IP3/BCL10/IFI35/TYRO3/DDX60/S100A8/TNIP3/PPT1/KCNK6/TNF/TRAF2/ARRB2/NOD2/NLRC3/OAS3/PTPN22/TIFAB/GBP2/OAS1/IFI16/NMI/TLR10/USP15/KLRC1/PYCARD/NFKBIA/SMPDL3A/CGAS/HSPA1A/TLR2/IRF1/RNF39/BRCC3/KLRC2/TLR6/CD274/BIRC3/BTK/OTULIN/SARM1/IRAK2/MEFV/NOD1/IRF5/NR1D1/CTSS/CD300A/RAB7B/S100A14/CD300LF/CYLD/AIM2/CASP1/GFI1/SLC15A3/RIOK3/DHX58/EGFR/INAVA/IFIH1/TLR1/BPIFB1/STING1/F2RL1",80
"GO:0038061","non-canonical NF-kappaB signal transduction","45/2389","131/18842",0.343511450381679,2.70926862624178,7.48057480919553,1.24019598209311e-10,8.01357403814012e-09,8.01357403814012e-09,"CD86/TNFRSF11A/MAP3K14/TRIM56/TRIM40/TNFRSF10A/TRIM15/LTB/HAVCR2/CD27/BCL10/IFI35/RELB/IL18/TNF/TRAF2/TNFSF14/NOD2/NLRC3/PTPN22/TNFRSF1A/ACTN4/IL12B/SPHK1/NMI/NFKB1/LTA/PYCARD/TNFRSF1B/NFKBIA/TLR6/ZFP91/NFKB2/BIRC3/ZC3H12A/CARD14/BCL3/TAB3/NOD1/IL18R1/LTBR/CYLD/REL/RIPK1/NOL3",45
"GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","13/2389","15/18842",0.866666666666667,6.83538440072555,8.61513404467844,1.74071596630262e-10,1.11254455237602e-08,1.11254455237602e-08,"RAET1G/RAET1E/AZGP1/HLA-A/HLA-F/HLA-C/HLA-G/RAET1L/HLA-E/ULBP2/TAP2/HLA-B/HLA-H",13
"GO:0042267","natural killer cell mediated cytotoxicity","32/2389","77/18842",0.415584415584416,3.27770680554272,7.63143831985863,2.27676286496947e-10,1.43950168236779e-08,1.43950168236779e-08,"KIR2DL4/CD2/HAVCR2/SERPINB4/RAET1G/RAET1E/SLAMF6/SLAMF7/ARRB2/CLEC2A/HLA-A/HLA-F/IL12B/HLA-C/HLA-G/RAET1L/KLRC1/CRTAM/HCST/MICA/KLRF2/KLRC2/NECTIN4/PIK3CB/RASGRP1/NCR3/HLA-E/KLRC4-KLRK1/ULBP2/KLRK1/KLRB1/HLA-B",32
"GO:0002711","positive regulation of T cell mediated immunity","29/2389","66/18842",0.439393939393939,3.46549209127694,7.6455994900933,3.1840184353041e-10,1.979802822953e-08,1.979802822953e-08,"HLA-DRA/CD1B/CD7/RAET1G/CD55/IL18/TRAF2/RAET1E/AZGP1/HLA-A/HLA-F/HLA-DRB1/SLAMF1/IL12B/HLA-C/HLA-G/RAET1L/CD1C/CD1E/CD1A/IL12RB1/IL18R1/HLA-E/MR1/B2M/ULBP2/HLA-B/SECTM1/HLA-H",29
