"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184709.7",30.2027914775934,-3.39719615974832,0.391377639701844,-8.68009772437776,3.95428912915364e-18,1.0422505792662e-16
"ENSG00000184867.14",933.513909547905,-1.23999965679022,0.212103365953287,-5.84620452022112,5.0291566425148e-09,3.9170755257897e-08
"ENSG00000184925.12",128.376739030421,-2.08376299610373,0.243802353215742,-8.54693553453848,1.26399745742696e-17,3.1291274946946e-16
"ENSG00000184937.16",87.0175814241079,-1.42088445982913,0.310149490235347,-4.58128903823422,4.62118622406521e-06,2.10663968071051e-05
"ENSG00000184949.16",172.904629176133,-2.04279736473982,0.187718120890894,-10.8822598215073,1.40047268660521e-27,1.11866646044498e-25
"ENSG00000184956.16",1146.7300093084,-2.69194973142819,0.506290485151047,-5.31700636369863,1.05488380483741e-07,6.53051425014093e-07
"ENSG00000185002.10",1.19709982786931,-2.10254430395082,0.519617008529997,-4.04633464539382,5.20258442755416e-05,0.000189806543769027
"ENSG00000185015.8",354.963584368806,-1.19134743760452,0.145123055706674,-8.20922238581098,2.22625562737947e-16,4.66265162570458e-15
"ENSG00000185046.18",34.9399805873125,-1.11390652262251,0.263191861783544,-4.23229850297808,2.31315120912301e-05,9.09944954439688e-05
"ENSG00000185105.5",3.36007602858054,-2.45262593598234,0.291681423633327,-8.40857777444729,4.15012178661305e-17,9.57792151652045e-16
"ENSG00000185133.14",423.160910711844,-1.3579350888219,0.164508571906218,-8.25449441987754,1.52546605899974e-16,3.27849790677104e-15
"ENSG00000185156.6",115.096208762491,-2.55197642562522,0.325557895342202,-7.83877909931436,4.54948075248139e-15,8.02114460566247e-14
"ENSG00000185176.13",4.32663399121703,-4.93460320494756,0.603413876803117,-8.17780862298206,2.89052365941438e-16,5.92866607347503e-15
"ENSG00000185250.16",136.389322664674,-2.45643151787131,0.211367287700887,-11.6216257709069,3.19988346258385e-31,3.52551145019391e-29
"ENSG00000185303.17",42.9496739054807,-3.74061410142361,0.437241897163127,-8.55502211863301,1.17846134273309e-17,2.93147356155993e-16
"ENSG00000185437.13",6.10805019866244,-1.2614365828989,0.218499788231056,-5.77317073444928,7.77935437147691e-09,5.83167659818013e-08
"ENSG00000185442.13",1021.71958650488,-2.03126384617125,0.209879430585683,-9.67824164808755,3.73077046740166e-22,1.60122441135227e-20
"ENSG00000185499.16",20050.787661483,-1.44111183914005,0.238868424188367,-6.03307801789499,1.6086570064324e-09,1.35695338448138e-08
"ENSG00000185551.15",2509.8583368514,-1.40196211532764,0.168708763401144,-8.30995430862211,9.57389296056261e-17,2.10801581909601e-15
"ENSG00000185681.13",27.822545936683,-3.07933582687454,0.439478092738706,-7.00680165349078,2.43827537671039e-12,3.08876857853234e-11
"ENSG00000185686.18",1189.05270361154,-1.59071574678711,0.494055780006859,-3.21970880851758,0.00128320869274955,0.00343510977180284
"ENSG00000185737.13",5.41663585843916,-3.36199764062332,0.452176300306318,-7.43514783580165,1.04451080128537e-13,1.55465593176823e-12
"ENSG00000185774.16",5.93251010598032,-1.15285345848912,0.202873791032587,-5.68261406572688,1.32651382746131e-08,9.59387113241388e-08
"ENSG00000185863.8",1.48975530967247,-2.38933453850747,0.472483200886836,-5.05697246806397,4.2596470615991e-07,2.35921438565762e-06
"ENSG00000185915.5",13.807219682341,-1.51558185051654,0.436782471078586,-3.46987791605735,0.000520694979916917,0.0015331870614879
"ENSG00000185924.7",310.424873607184,-1.162869268938,0.300987935520712,-3.86350790747218,0.000111770273456717,0.000381536797663978
"ENSG00000185942.13",25.6746777462174,-2.04461266631661,0.307329356265669,-6.65283880186556,2.87493022007164e-11,3.13505852894881e-10
"ENSG00000185985.11",22.315621571295,-3.75818418379086,0.359408431820809,-10.4565832380488,1.3669639494145e-25,8.56392490835805e-24
"ENSG00000186009.5",4.01479896469822,-1.97454137469702,0.317562163428006,-6.21781056465396,5.04139666768194e-10,4.60808654087292e-09
"ENSG00000186094.17",9.92274494006639,-2.78151670139611,0.412792956010717,-6.73828528538142,1.60266665502556e-11,1.80872379638599e-10
"ENSG00000186198.4",19.6031799160398,-2.78128570160222,0.276633498145643,-10.0540452267929,8.81719530875964e-24,4.65224345502187e-22
"ENSG00000186231.17",18.2083978002465,-2.08409626652827,0.24237120126966,-8.59877846712293,8.05690389807749e-18,2.03768098938537e-16
"ENSG00000186234.7",1.80551554310672,-1.37567725080079,0.383275388505234,-3.58926581789116,0.000331610573285194,0.00102118158549893
"ENSG00000186409.18",174.865615180091,-1.3476103198953,0.1337288500717,-10.0771846850756,6.96944348396291e-24,3.71824335482073e-22
"ENSG00000186451.2",19.9956808524505,-1.03203032875323,0.174615375612484,-5.91030615221178,3.414724819948e-09,2.72231291717285e-08
"ENSG00000186453.13",23.1286535643759,-1.23885133912899,0.457838845056237,-2.70586769232484,0.00681261826074121,0.0151323691260524
"ENSG00000186479.5",11.6684948599261,-1.12777060780492,0.467454937014088,-2.41257609772753,0.0158402303906611,0.0318844788683921
"ENSG00000186481.16",28.1645677342935,-1.19144332238444,0.322277130423387,-3.69695274628764,0.000218202938732099,0.000700138775516651
"ENSG00000186710.11",78.2401000888367,-3.21577245505726,0.248281116143482,-12.9521427364571,2.28486186653815e-38,5.0932936305559e-36
"ENSG00000186765.12",39.7485536842849,-1.72725813031805,0.177911128899425,-9.70854460315681,2.77267739384738e-22,1.2135633354258e-20
"ENSG00000186766.8",38.9582347367275,-1.55816435953586,0.531230580733147,-2.93312248211586,0.00335571479797378,0.00809062922197819
"ENSG00000186838.13",1.62925901572315,-1.50984337098948,0.504450651555595,-2.99304474349179,0.00276209252018841,0.00681540522657782
"ENSG00000186897.5",55.6169438676121,-1.15542422734245,0.326196596171854,-3.54211000636475,0.00039693989902591,0.00120050523100432
"ENSG00000186952.15",25.1189441745546,-1.68096912930046,0.196880341348172,-8.53802425264878,1.36536268393032e-17,3.36727009769299e-16
"ENSG00000186976.15",62.7499311651449,-1.40981897929094,0.161710793078241,-8.71815017695708,2.82783721964206e-18,7.61397819176284e-17
"ENSG00000186998.16",634.855883232894,-1.28763778299686,0.281680953892248,-4.57126321536607,4.8479287627972e-06,2.20127963844934e-05
"ENSG00000187098.17",584.106931551415,-1.25171193040864,0.177407130399033,-7.05558974767939,1.71870209678416e-12,2.21528451345251e-11
"ENSG00000187266.14",416.921460797406,-1.76555749704321,0.156172306680306,-11.305189342291,1.23687078319529e-29,1.15478754031051e-27
"ENSG00000187288.12",11.4628279269631,-2.1638637174515,0.39592107552439,-5.46539159246702,4.61886002016547e-08,3.03380399131746e-07
"ENSG00000187416.12",8.5364539573717,-4.42226854029322,0.4307801716906,-10.2657198053894,1.00568143439797e-24,5.83051921926373e-23
"ENSG00000187486.5",150.038610973218,-1.25760958727821,0.208262848542783,-6.03856902984723,1.55486909456935e-09,1.31582741858259e-08
"ENSG00000187492.9",47.368983512965,-2.84311503645587,0.265066136807918,-10.7260590533907,7.6802169083739e-27,5.53514579992982e-25
"ENSG00000187510.10",87.2441732938277,-1.21209514064019,0.298269111178913,-4.06376354510651,4.82877440131889e-05,0.000177406716090873
"ENSG00000187546.14",33.396257016943,-4.29961459438515,0.514191624564831,-8.36189153805059,6.17205753772612e-17,1.39312155851532e-15
"ENSG00000187550.9",3.06604701795919,-1.6022709184993,0.407166861469128,-3.93517024621805,8.31377418616699e-05,0.000290875885749383
"ENSG00000187621.15",8.92028494030432,-2.17161847518045,0.322248347950535,-6.73895921885002,1.59525164225291e-11,1.80106227815566e-10
"ENSG00000187627.17",5.18560775925777,-1.55958423438941,0.333498406709648,-4.67643683751455,2.91902452180338e-06,1.38491122172873e-05
"ENSG00000187634.12",148.417716464198,-1.77924910159508,0.30377909718944,-5.85704914543717,4.71163732475091e-09,3.68176859692684e-08
"ENSG00000187699.10",827.606955338257,-3.07727605428013,0.295507271007593,-10.4135375207098,2.15077759771768e-25,1.32720516308948e-23
"ENSG00000187715.13",553.524013836629,-1.19862553090705,0.392734735771435,-3.05199775251005,0.0022732380291846,0.00572660821438743
"ENSG00000187726.9",40.4794075207034,-2.6252170151457,0.273187565503895,-9.60957725254987,7.28474556704565e-22,2.99685469994227e-20
"ENSG00000187783.12",13.7363849289595,-5.22219162679375,0.467400024030573,-11.1728527135295,5.53733975224428e-29,4.86947222983292e-27
"ENSG00000187824.9",183.280389449907,-1.0958183192103,0.156236426383343,-7.01384654383728,2.31853691033324e-12,2.94617089675399e-11
