"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","26/1492","86/9400",0.302325581395349,1.90473221522539,3.66094386418653,0.000590645074736687,0.00628231579492658,0.00628231579492658,"776/117/3767/5332/815/6804/5582/6833/483/90993/6616/3651/482/112/9586/111/113/775/1131/5578/3781/148327/6513/10242/2645/486",26
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","36/1492","133/9400",0.270676691729323,1.70533572537241,3.5583120104393,0.000638997544455835,0.00659670994423524,0.00659670994423524,"353091/80328/3383/3822/5582/7305/2207/3002/356/5293/3458/10870/3823/3804/7124/2214/25759/962/8743/5551/135250/1437/3384/3821/3812/5578/7535/4068/3805/3802/154064/3811/3809/3824/51744/919",36
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","21/1492","65/9400",0.323076923076923,2.03547123118169,3.63855932670283,0.000744222574115007,0.00746348924326764,0.00746348924326764,"776/5332/90993/112/9586/2516/8622/1589/111/5443/183/113/775/8912/3283/3164/148327/1586/1583/190/6770",21
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","40/1492","154/9400",0.25974025974026,1.63643327182201,3.45882188145644,0.000807594767902551,0.00787404898704987,0.00787404898704987,"776/2770/6330/11149/785/5332/815/810/483/9254/90993/489/782/5350/482/112/102723475/9586/7134/5522/5523/6543/186/111/154/5521/183/59285/113/775/7137/5578/491/147/55799/148327/3784/5502/3753/486",40
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","23/1492","75/9400",0.306666666666667,1.93208221626452,3.52007842519848,0.000963822343013606,0.00914328763237232,0.00914328763237232,"1081/5332/5582/483/90993/4036/482/112/9586/433/50506/213/2877/111/113/5578/7849/7276/148327/389434/7173/6528/486",23
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","26/1492","89/9400",0.292134831460674,1.8405277585324,3.46051556260734,0.00104426273905418,0.00964569003705309,0.00964569003705309,"1288/5649/131873/1298/3678/22987/63923/3909/3918/341640/948/9899/6382/8515/1280/3655/80144/960/1287/1297/7448/158326/3674/3673/3679/1758",26
"Metabolism","Lipid metabolism","hsa00592","alpha-Linolenic acid metabolism","11/1492","26/9400",0.423076923076923,2.66549804083316,3.69368819658593,0.00118414157802107,0.0106572742021897,0.0106572742021897,"283748/5319/8399/5320/123745/54979/26279/64600/11145/391013/255189",11
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","14/1492","38/9400",0.368421052631579,2.32115140397912,3.54447548205392,0.00135370030454411,0.0116707822610582,0.0116707822610582,"53828/4306/5582/9351/483/6446/5293/482/3643/5578/3291/2810/3758/486",14
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","19/1492","59/9400",0.322033898305085,2.0288998954878,3.44345450093412,0.0013661823849807,0.0116707822610582,0.0116707822610582,"1081/2770/5742/134/2167/4881/5293/112/63924/54979/4852/111/3643/154/113/155/8471/11145/364",19
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","25/1492","86/9400",0.290697674418605,1.83147328387057,3.36450605559862,0.00139650386029756,0.0116707822610582,0.0116707822610582,"776/1837/2697/1824/3678/785/8910/9254/489/1496/4842/782/3728/8515/3655/6543/1832/59285/775/55799/3674/3673/6641/3679/29119",25
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","16/1492","47/9400",0.340425531914894,2.14477211796247,3.41731026448245,0.00166997473560831,0.0136316542371748,0.0136316542371748,"776/5313/777/9370/3767/6833/3651/80201/5293/3101/7124/3643/775/389692/8471/2645",16
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","39/1492","155/9400",0.251612903225806,1.585228746865,3.19102310101833,0.0017702940109631,0.0141221181329102,0.0141221181329102,"776/2770/7855/51655/81029/7479/7976/11211/5332/815/50940/90993/1021/1030/112/8323/9586/8313/54361/2516/8622/8325/1589/111/5443/183/113/7473/7482/775/8912/3283/3164/148327/1586/23746/1956/1583/6770",39
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","26/1492","93/9400",0.279569892473118,1.76136527429445,3.2049524329623,0.00209749546360246,0.0159505679367635,0.0159505679367635,"362/1755/5332/5582/810/483/4842/4586/482/112/6779/1470/727897/6263/111/154/113/1131/5578/491/155/1472/147/6558/54831/486",26
