"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
34.1582250712193,-4.79844549467181,0.893159757286425,-5.3724380834738,7.76791064575585e-08,9.95342008891373e-07,"MAGEC2"
214.93042354132,-2.50771595684737,0.409537808904847,-6.12328313117975,9.16665940050453e-10,1.82527479624813e-08,"ROS1"
134.566675268366,-1.12557086015786,0.194480700178818,-5.78757099867977,7.14115074268683e-09,1.1617190036677e-07,"ADAMTS6"
11963.8313050324,-1.24828564235792,0.191191981918734,-6.52896439395928,6.62259909289952e-11,1.70047241604923e-09,"LTBP1"
8081.05567696255,-1.49174362515356,0.173901115232588,-8.5781141952908,9.64411790356238e-18,8.91237888780257e-16,"DKK3"
104.928330738678,-1.01570504130982,0.213519168584045,-4.75697356844111,1.9651688848933e-06,1.77186992134625e-05,"SLC4A8"
251.114296108583,-1.03887551549812,0.271880793784471,-3.82106989257091,0.000132873985754481,0.000718171665335571,"PTGER3"
1333.57853676743,-1.12801876739699,0.135075031423409,-8.35105315549458,6.76569620816455e-17,5.45174849944479e-15,"HOMER3"
71.6982752221228,-2.55234351483728,0.383254928726833,-6.65964955314762,2.74481276704656e-11,7.50228507950775e-10,"ALX4"
25.078978192741,-1.42531276841546,0.359898306949528,-3.96032084867615,7.48491285648494e-05,0.000437475114544222,"METTL24"
37054.0260140237,-1.31912589576119,0.232244618643324,-5.67989864939378,1.34774578308178e-08,2.04482899235657e-07,"LAMA3"
110.440679432417,-2.38348311234423,0.33047394569955,-7.21231777379258,5.50074180079612e-13,2.15917731378775e-11,"PTPRN"
97806.0227294752,-1.48966325808266,0.234141126594596,-6.3622451969403,1.98825702297877e-10,4.60154405580815e-09,"LAMC2"
294.458720933943,-1.12811142408349,0.274836979459419,-4.10465660881002,4.04915890411989e-05,0.000255863730879555,"DGKG"
171.064379163475,-1.66731209185168,0.264165218694064,-6.31162611071306,2.76118662178731e-10,6.19509018793198e-09,"RIMBP2"
4531.50869921016,-1.22194027255923,0.369966356442359,-3.30284159973234,0.000957104352228001,0.00395501376319357,"COL11A1"
2626.59220031299,-1.3939393863075,0.251036623419996,-5.55273317222473,2.81237198692959e-08,3.99628987174995e-07,"BCAT1"
20.8029219480138,-1.31914278850296,0.192323493716495,-6.85897891626028,6.93544729418581e-12,2.15990422606439e-10,"MRPS24"
889.270719094416,-1.34647409454598,0.265151650398383,-5.07812828063842,3.81171311009788e-07,4.09415785017151e-06,"DLX3"
786.257873043982,-1.05540821917497,0.251926085724661,-4.18935663664643,2.79746450865296e-05,0.000184044939338776,"ATP2C2"
5.60544970091598,-3.23565875949968,0.544817570816432,-5.93897651768263,2.86806939160118e-09,5.09429260887225e-08,"ROPN1"
94637.9485332431,-1.2366818297464,0.249696942401084,-4.95273117025174,7.31790407590137e-07,7.27843218989237e-06,"COL17A1"
3054.33864837455,-1.63454731002527,0.216582428933342,-7.54699870195073,4.45403024291744e-14,2.14556535820732e-12,"ME1"
