"SYMBOL","CESC_LFC","HNSC_LFC"
"ACTG1P22",0.626477441271641,0.149831940555754
"ACTG1P23",-0.635875076005372,-0.279138990893898
"ACTG2",-0.945634208154314,-0.664516342097466
"ACTL6A",0.557392402458609,0.379493663392967
"ACTL8",2.10625051165137,-2.02487785379768
"ACTMAP",-0.122507933012918,0.451699370588879
"ACTN1",0.673469705512742,-1.54200960676388
"ACTN1-DT",1.51871261705911,-1.55580298859849
"ACTN2",-0.279741057022069,-0.323385020016527
"ACTN3",0.0367867139579328,-1.20628318514713
"ACTN4",0.742917923870291,-0.247175330828368
"ACTN4P1",0.19636336999585,0.0315151989434669
"ACTR10",0.145051002221921,-0.388174410131567
"ACTR1A",-0.321441184386918,-0.381772135122323
"ACTR1B",0.0844619750819774,0.380666775213798
"ACTR2",-0.0512056001786517,-0.380308999832036
"ACTR3",-0.207848180242365,-0.414591390173016
"ACTR3-AS1",-0.103083696348004,0.064580766882365
"ACTR3B",-1.57159411705477,-0.204570347557505
"ACTR3C",-0.585016358188284,0.718818076658619
"ACTR5",0.302478075882347,-0.256293064041541
"ACTR6",-0.345865323466379,0.089549456086818
"ACTR8",-0.723828704580977,0.198279625435258
"ACTRT3",0.535441977967375,0.178672130674241
"ACVR1",0.304912859799138,-0.681033170572005
"ACVR1B",0.412596536728756,0.267183849819077
"ACVR1C",0.327139644687642,0.0931811220390526
"ACVR2A",0.112768079485393,0.430898988092682
"ACVR2B",-1.21812681393254,0.619232641231067
"ACVR2B-AS1",-1.22941744454694,0.491923447533929
"ACVRL1",-0.572782369862272,-0.223511729403521
"ACY1",-0.101663533873366,0.11625759105837
"ACY3",1.36187658806837,0.358185705842405
"ACYP1",0.449017946483012,0.419483306432964
"ACYP2",0.196256233084806,0.0927329178023066
"ADA",1.41971694144697,-0.622904457296271
"ADA2",-0.311773709496664,0.455469419499419
"ADAD2",2.55922853636683,0.608514673986223
"ADAD2-AS1",3.93126902548217,0.520220627033689
"ADAM10",0.220601199435566,-0.221463945525974
"ADAM11",0.537236419617325,-0.466005461560855
"ADAM12",-0.416972164519637,-1.03311587520958
"ADAM15",0.838263604140976,-0.213694625898905
"ADAM17",0.2643297460455,-0.389292102618135
"ADAM19",0.267855772089112,0.289673351577596
"ADAM1B",0.172630357814114,0.391696853033954
"ADAM20",-0.264849548773947,-0.647088170181271
"ADAM21",1.15276919819595,-0.899707594395704
"ADAM22",0.215090766219821,2.30176796438213
"ADAM23",1.5819710658805,-0.380587188040652
"ADAM28",0.132948606115908,1.66867540524943
"ADAM32",-1.56079986917747,0.43474902593558
"ADAM33",-1.15518682559719,-0.629565108772261
"ADAM8",1.87015729219038,0.339747024761165
"ADAM9",0.509075228047722,-0.309744340682353
"ADAMDEC1",1.86676367984617,0.563956380552376
"ADAMTS1",-0.863390918871778,-0.768681169127832
"ADAMTS10",-0.0576227913996852,0.0768114130562617
"ADAMTS12",-0.683872957445539,-1.25621784274346
"ADAMTS13",-0.899260192837188,0.167895202705294
"ADAMTS14",-0.174813052686546,-1.36568634000903
"ADAMTS15",-0.93268545762586,-2.00847252947966
