"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","14/1490","38/9400",0.368421052631579,2.32426704344754,3.55000339369131,0.00133567666738107,0.0120183449121356,0.0120183449121356,"5293/9351/3643/6446/3291/4306/5578/2810/482/483/53828/3758/486/5582",14
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","19/1490","59/9400",0.322033898305085,2.03162325105221,3.44981780157793,0.0013440095549782,0.0120183449121356,0.0120183449121356,"5293/3643/8471/112/155/63924/111/2167/2770/54979/4852/134/5742/4881/154/1081/11145/113/364",19
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","25/1490","86/9400",0.290697674418605,1.83393163727173,3.37176482952376,0.00136961195579892,0.0120183449121356,0.0120183449121356,"4842/55799/6641/3678/1837/776/3673/1832/3728/1496/785/3655/9254/2697/6543/3674/1824/782/8910/29119/8515/489/775/59285/3679",25
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","16/1490","47/9400",0.340425531914894,2.14765100671141,3.42317436366061,0.00164599578616668,0.0140913297791342,0.0140913297791342,"5293/3643/777/776/8471/6833/5313/3651/389692/9370/7124/80201/3767/775/2645/3101",16
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","12/1490","31/9400",0.387096774193548,2.44208703182507,3.4903695893989,0.0017844358029685,0.0149127849248082,0.0149127849248082,"54577/54657/7364/7358/7367/54576/55586/79799/54490/54578/54658/7366",12
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","20/1490","65/9400",0.307692307692308,1.94114610221993,3.30447356807857,0.00189767553647807,0.0154903282163675,0.0154903282163675,"90993/776/190/112/8912/2516/111/1583/8622/183/5332/5443/148327/9586/113/3164/3283/775/1589/6770",20
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","26/1490","93/9400",0.279569892473118,1.76372952298477,3.21234301910086,0.00205721919551012,0.0162560183885215,0.0162560183885215,"1755/4842/1470/810/491/362/6263/54831/112/1472/727897/6779/155/111/5578/4586/1131/482/483/5332/6558/154/486/147/113/5582",26
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","19/1490","61/9400",0.311475409836066,1.96501265265706,3.28165902643208,0.00208410492160533,0.0162560183885215,0.0162560183885215,"491/7018/341208/6569/30061/540/340024/4501/4489/10568/482/6543/483/1811/261729/6523/4502/486/9843",19
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","27/1490","98/9400",0.275510204081633,1.73811806601835,3.18783931702768,0.00215060155956796,0.0164100249436598,0.0164100249436598,"90993/810/776/491/112/8912/111/5578/5138/482/815/483/1583/183/5332/4881/5443/747/148327/9586/113/3164/3283/5582/775/1589/6770",27
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","11/1490","28/9400",0.392857142857143,2.4784276126558,3.40023284566162,0.00239809852034075,0.0173468574497466,0.0173468574497466,"2526/10331/124872/2529/84002/10317/8708/6484/2651/2525/2528",11
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","13/1490","36/9400",0.361111111111111,2.27815063385533,3.33463500532574,0.00242589435974828,0.0173468574497466,0.0173468574497466,"5169/93432/8972/8908/57733/5167/5836/55276/11181/6476/80201/2645/3101",13
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","13/1490","36/9400",0.361111111111111,2.27815063385533,3.33463500532574,0.00242589435974828,0.0173468574497466,0.0173468574497466,"51301/10331/27090/8693/442117/11226/114805/57452/51809/55808/79695/9245/50614",13
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","8/1490","17/9400",0.470588235294118,2.96881168574812,3.52617204602652,0.00247715836132621,0.0173468574497466,0.0173468574497466,"377677/761/760/767/762/763/1373/765",8
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","27/1490","99/9400",0.272727272727273,1.72056131787675,3.12801938932964,0.0025204835610743,0.0173468574497466,0.0173468574497466,"4842/55799/6641/3678/1837/776/3673/5563/785/3655/9254/6543/3674/183/7124/1636/782/8910/7134/7040/8515/7137/489/775/59285/3569/3679",27
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","26/1490","95/9400",0.273684210526316,1.72659837513246,3.08918383422544,0.00284593590374896,0.0192100673503055,0.0192100673503055,"1437/54/3553/4050/8792/7097/1493/4312/6374/50617/4314/525/8741/6372/3458/7124/3552/942/7040/245973/3383/941/3589/6352/2921/3569",26
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","28/1490","105/9400",0.266666666666667,1.68232662192394,3.0514621399432,0.00302487732036829,0.0197434091256264,0.0197434091256264,"4842/55799/6641/3678/1837/776/3673/112/785/111/3655/9254/6543/3674/183/7124/782/8910/7134/5350/7040/8515/113/7137/489/775/59285/3679",28
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","14/1490","41/9400",0.341463414634146,2.15419872319529,3.21442658693733,0.00305819962612824,0.0197434091256264,0.0197434091256264,"2568/2893/2561/2569/1137/55879/2902/2556/2891/8973/2558/1139/2903/2555",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","39/1490","160/9400",0.24375,1.53775167785235,2.97749812788603,0.00317673021530372,0.0197434091256264,0.0197434091256264,"1001/84631/4099/201633/3384/5818/84189/925/25945/9073/100506658/1493/57689/920/6382/94030/23562/29126/139065/9080/3655/9076/914/26285/100132463/9075/26050/1365/4685/10686/80380/29851/942/9071/6614/79679/3383/941/9378",39
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","38/1490","155/9400",0.245161290322581,1.54665512015588,2.97832117217876,0.00320293944897152,0.0197434091256264,0.0197434091256264,"90993/51655/8313/7855/776/54361/50940/7473/112/7976/8912/8323/1021/2516/111/2770/1030/8325/11211/815/7482/7479/1583/1956/8622/183/5332/5443/148327/9586/113/81029/3164/3283/775/1589/6770/23746",38
