"EnsemblGeneID","WaldStatistic"
"ENSG00000129757",9.15488847173576
"ENSG00000204764",9.10596944498363
"ENSG00000177084",9.09937908054849
"ENSG00000187855",9.09342253267777
"ENSG00000146247",9.09011279371576
"ENSG00000071794",9.08679664498882
"ENSG00000149929",9.08068525218493
"ENSG00000166432",9.03839977248398
"ENSG00000111445",9.01406766373735
"ENSG00000163749",9.00296558909529
"ENSG00000225733",8.99604754275624
"ENSG00000164104",8.99536657777755
"ENSG00000245870",8.98495974282215
"ENSG00000057593",8.96387538920046
"ENSG00000122482",8.9612483712918
"ENSG00000172379",8.9448498993338
"ENSG00000104427",8.93235125039038
"ENSG00000185274",8.93069253501935
"ENSG00000179240",8.92489113262444
"ENSG00000106144",8.92257190158054
"ENSG00000170836",8.90945973408459
"ENSG00000129810",8.90334830426213
"ENSG00000148019",8.88754205165102
"ENSG00000162068",8.86658837854237
"ENSG00000166881",8.86393328938176
"ENSG00000174799",8.84901098038066
"ENSG00000078487",8.84898135975216
"ENSG00000085276",8.83973940043038
"ENSG00000227188",8.82341227944925
"ENSG00000167670",8.82274170502566
"ENSG00000164663",8.80116943323013
"ENSG00000158169",8.80044669692708
"ENSG00000178966",8.79708260971697
"ENSG00000233242",8.79416387774938
"ENSG00000170153",8.79122044909459
"ENSG00000185736",8.74321810510975
"ENSG00000068796",8.73603829373793
"ENSG00000163781",8.73006756561079
"ENSG00000008277",8.72437908207942
"ENSG00000136828",8.71878784022442
"ENSG00000159055",8.70644803971201
"ENSG00000162174",8.69902928906803
"ENSG00000287090",8.69565929490828
"ENSG00000136750",8.6868605608835
"ENSG00000075303",8.68661098727853
"ENSG00000113593",8.65796517809047
"ENSG00000142528",8.65425232056021
"ENSG00000167528",8.64934600456199
"ENSG00000196670",8.63296122706408
"ENSG00000164188",8.61993650535643
"ENSG00000062822",8.55854112669221
"ENSG00000112118",8.5334198670476
"ENSG00000156802",8.53121325317054
"ENSG00000132846",8.53051607646226
"ENSG00000082293",8.51585454921426
"ENSG00000123374",8.51398737496234
"ENSG00000148400",8.5127318570134
"ENSG00000178226",8.49574318156913
"ENSG00000124134",8.48670869438519
"ENSG00000088035",8.47023878395657
"ENSG00000105982",8.45669556274509
"ENSG00000071243",8.44224530721654
"ENSG00000163808",8.43820267580609
"ENSG00000184845",8.4251609920316
"ENSG00000108799",8.42508417079489
"ENSG00000066583",8.42316060736917
"ENSG00000187140",8.4218775317689
"ENSG00000125337",8.41684607883068
"ENSG00000138622",8.40546340442486
"ENSG00000164118",8.40523534002356
"ENSG00000139364",8.39015105510873
"ENSG00000185187",8.38280103648065
"ENSG00000132646",8.37137401281937
"ENSG00000268686",8.36123546010669
"ENSG00000169083",8.35147782116429
"ENSG00000275212",8.35085252398036
"ENSG00000141655",8.34625273382255
"ENSG00000141622",8.34596375787623
"ENSG00000165113",8.34383427279568
"ENSG00000016391",8.34272186380907
"ENSG00000183814",8.33809120328978
"ENSG00000186638",8.33756514277606
"ENSG00000165891",8.33629145558704
"ENSG00000177873",8.30520881660052
"ENSG00000189180",8.3028227207572
"ENSG00000109381",8.29838616981688
"ENSG00000007968",8.29400130163543
"ENSG00000186814",8.28841959955005
"ENSG00000156876",8.28732612357562
"ENSG00000165131",8.2820444590379
"ENSG00000160183",8.24962270327849
"ENSG00000235831",8.24540360720759
"ENSG00000143013",8.23651294151937
"ENSG00000145687",8.23312306963922
"ENSG00000051341",8.22982082755436
"ENSG00000247151",8.22159791015266
"ENSG00000147117",8.22155679598642
"ENSG00000122952",8.21833621406069
"ENSG00000128271",8.21690990626089
"ENSG00000137142",8.20993386402924
"ENSG00000159069",8.20625367225485
"ENSG00000077157",8.18187787063673
"ENSG00000117155",8.16500199003438
"ENSG00000118412",8.16469722696002
"ENSG00000143476",8.1393595536914
"ENSG00000151725",8.13099668529676
"ENSG00000183762",8.12540451458189
"ENSG00000007933",8.11913301516945
"ENSG00000186197",8.10880600195064
"ENSG00000076248",8.10649943194883
"ENSG00000136824",8.1036406556151
"ENSG00000074695",8.1010167702486
"ENSG00000188732",8.09979576615193
"ENSG00000103995",8.09148971102525
"ENSG00000267374",8.08896818826054
"ENSG00000116205",8.08604587749768
"ENSG00000028116",8.08279225251647
"ENSG00000117632",8.06149251287091
"ENSG00000095777",8.03239260650518
"ENSG00000115297",8.0238121363631
"ENSG00000206530",8.01404095057556
"ENSG00000078900",8.01267779278204
"ENSG00000145287",8.01025547129618
"ENSG00000005379",8.00918438823969
"ENSG00000106633",8.00311138963711
"ENSG00000101911",7.99095158916454
"ENSG00000168301",7.96876521352895
"ENSG00000266256",7.96561700807202
"ENSG00000286785",7.94706238951626
"ENSG00000235989",7.94588021862352
"ENSG00000183323",7.94440782462506
"ENSG00000127483",7.94103747425546
"ENSG00000125804",7.93676704944838
"ENSG00000159147",7.92650172399276
"ENSG00000062194",7.92376454565208
"ENSG00000138658",7.92159030847935
"ENSG00000077800",7.91744197755882
"ENSG00000130768",7.91508571091622
"ENSG00000206567",7.91081607989985
"ENSG00000164985",7.90508632985238
"ENSG00000178222",7.90489544953534
"ENSG00000153914",7.89994676579702
"ENSG00000185518",7.89614491892262
"ENSG00000166845",7.88203298210938
"ENSG00000198944",7.87654924158883
"ENSG00000151623",7.87395035736729
"ENSG00000075702",7.87172710327724
"ENSG00000137880",7.8690363839042
"ENSG00000145911",7.8657470385666
"ENSG00000204536",7.86545412605746
"ENSG00000132780",7.85964985315665
"ENSG00000031003",7.8577606172832
"ENSG00000147316",7.85738527598679
"ENSG00000182648",7.85405172435456
"ENSG00000169136",7.85237255358201
"ENSG00000164385",7.84903426428557
"ENSG00000234284",7.84492439120206
"ENSG00000160298",7.83394665765368
"ENSG00000165359",7.81944222425866
"ENSG00000113810",7.814270886484
"ENSG00000153303",7.79550944725553
"ENSG00000165702",7.78623647367604
"ENSG00000229891",7.78441300876573
"ENSG00000261787",7.78242160512826
"ENSG00000254126",7.78149687219044
"ENSG00000167992",7.77796150992053
"ENSG00000203995",7.77749684054534
"ENSG00000120733",7.77350401354286
"ENSG00000253973",7.76656068121158
"ENSG00000113851",7.76465682684595
"ENSG00000155428",7.75983766635686
"ENSG00000165071",7.75855150566586
"ENSG00000231177",7.75823303157743
"ENSG00000184368",7.74973992209518
"ENSG00000100162",7.74939910848009
"ENSG00000185946",7.73123805985591
"ENSG00000172244",7.70687553582871
"ENSG00000178015",7.70478749737213
"ENSG00000103197",7.70439612374136
"ENSG00000135929",7.69627915600395
"ENSG00000266173",7.69223135970137
"ENSG00000157388",7.68366260123457
"ENSG00000224209",7.67710439097007
"ENSG00000169291",7.67637011770912
"ENSG00000174738",7.66623394100102
"ENSG00000182674",7.66254295558535
"ENSG00000164180",7.65323790145916
"ENSG00000121390",7.64484217384005
"ENSG00000080854",7.61678554527595
"ENSG00000135913",7.61074181770752
"ENSG00000108924",7.61011213687544
