"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000268186.1",2.4008130582076,1.81708454342006,0.390132538063305,4.65760828984022,3.19904158850991e-06,1.50707142724756e-05
"ENSG00000268287.1",7.05832911107019,2.05386980842115,0.258142607379135,7.95633789118983,1.77206048271204e-15,3.32837173356417e-14
"ENSG00000268307.1",128.169403610951,1.66286473311355,0.247374633929787,6.72205030361167,1.791850655656e-11,2.01353878288566e-10
"ENSG00000268460.2",73.2074681029063,1.00140841790319,0.307341936292531,3.25828759323634,0.00112086750440632,0.00304848822062878
"ENSG00000268531.3",0.953201713955704,1.71020706564346,0.753446113909338,2.26984655448001,0.0232168948063875,0.0444490697105511
"ENSG00000268601.1",100.295319605528,1.11570825975773,0.1929879136808,5.78123385282614,7.41547246121105e-09,5.58815350232398e-08
"ENSG00000268621.6",418.954594119015,1.22058889266857,0.367757565090323,3.31900417159001,0.000903390798377359,0.00251164128378027
"ENSG00000268628.2",84.781121852388,1.99719605758041,0.311645253130834,6.40855600242995,1.46904319234459e-10,1.45668296686418e-09
"ENSG00000268678.1",4.25227745066715,1.03084860896952,0.293032477549337,3.51786470083664,0.000435034107683705,0.00130408484599257
"ENSG00000268834.2",1.88133381613985,3.40348740104933,0.718743634357834,4.73532875750642,2.18700295659296e-06,1.06250138570345e-05
"ENSG00000268879.1",52.7147925592737,1.76600450115437,0.378319991056969,4.66801792900349,3.04119367042521e-06,1.43954839813576e-05
"ENSG00000268902.3",5.29178805217305,2.2194140103214,0.571737039814456,3.88187900339929,0.000103652450471116,0.000356364163767027
"ENSG00000268916.6",38.5940511163018,1.94791272457635,0.485849398358821,4.0092932730931,6.0900742174749e-05,0.000219401370831506
"ENSG00000269097.1",4.85815621045966,1.58681242115683,0.436172313963911,3.63804022024224,0.000274720530912193,0.000861208283757877
"ENSG00000269190.6",567.637541178365,1.05149483239869,0.214818947497111,4.89479556924478,9.84079713765813e-07,5.09877409892788e-06
"ENSG00000269404.7",95.0122699252069,1.22014085874249,0.273910025772008,4.45453157584705,8.4076555275892e-06,3.62474576238913e-05
"ENSG00000269526.1",7.59514581064092,2.69122332088251,0.578308397218952,4.65361273297161,3.26169143942847e-06,1.53306961477942e-05
"ENSG00000269706.1",1.38663322677475,2.11506503842666,0.645040301307678,3.27896572375219,0.00104188289827975,0.00285282656855194
"ENSG00000269729.1",8.95787889556477,2.85342354037302,0.490753633424853,5.81437068628439,6.08624125166402e-09,4.67457140579194e-08
"ENSG00000269855.2",25.2838066198698,1.75614418420339,0.309827243903916,5.66813996753627,1.4435602218332e-08,1.0364798436713e-07
"ENSG00000269902.1",5.81607971354293,1.15517628912118,0.288913652195589,3.99834442001084,6.37870872797612e-05,0.000228853584755685
"ENSG00000269919.1",14.201990763259,1.32569755046929,0.225488357791203,5.87922837105789,4.12183378227752e-09,3.25089007798059e-08
"ENSG00000269924.1",13.6389842946594,1.13672278536016,0.190367480910376,5.97120253902674,2.35511146432105e-09,1.92832379324895e-08
"ENSG00000269927.1",21.93720383019,3.90876250105777,0.403160839372872,9.69529309230024,3.1572985708375e-22,1.36733851962354e-20
"ENSG00000269970.1",10.0343050215976,2.17369103173958,0.27849571622462,7.80511478311715,5.94474144168542e-15,1.02794338482926e-13
"ENSG00000269989.1",9.71283721618223,2.30400319993671,0.310562150278584,7.418815196475,1.181726626324e-13,1.74713269236879e-12
"ENSG00000269993.1",9.61223634686592,2.39013091169458,0.793391400984052,3.01254955464614,0.00259063135463798,0.0064392942548163
"ENSG00000269994.3",167.330191490515,3.62236474485158,0.45280614757467,7.9998135278281,1.24607773688183e-15,2.37614133964019e-14
"ENSG00000270069.1",500.227773824011,1.34151806447469,0.197841857341655,6.78075955462758,1.19545694830926e-11,1.37231776469385e-10
"ENSG00000270071.3",9.55353971953045,2.24096984548693,0.50359681176029,4.44992858007534,8.58988501900416e-06,3.69555256742196e-05
"ENSG00000270076.1",13.8194374000505,1.31419697276906,0.254269210162669,5.16852579959761,2.35947721015736e-07,1.37124346514319e-06
"ENSG00000270187.1",2.58611585202477,1.00043394226699,0.419911075159637,2.38249001145459,0.0171959984841561,0.0342253627798924
"ENSG00000270244.1",3.56927974709988,1.06137734244865,0.27364163257204,3.87871294463653,0.000105010580664781,0.000360430205012706
"ENSG00000270343.1",8.08516240217484,1.36457058497394,0.229374974573627,5.94908222882843,2.69650156197788e-09,2.18362711676249e-08
"ENSG00000270354.1",1.64439410895652,1.52577465998115,0.364877122356285,4.18161229218231,2.89449236535227e-05,0.000111648588139598
"ENSG00000270372.1",24.3138472050928,1.5866612436651,0.654601766505417,2.4238572592547,0.0153566401716171,0.031016165325599
"ENSG00000270550.1",850.059743900372,1.13532085640241,0.323333920296024,3.51129524351476,0.000445928839791944,0.00133421389210874
"ENSG00000270748.1",2.11801615244062,1.46466803921489,0.486969126457752,3.00772258370668,0.00263213292683456,0.00653116010389633
"ENSG00000271046.1",3.68412393488109,1.78154341742748,0.339750481466936,5.24368180358518,1.57403561170864e-07,9.42193339931175e-07
"ENSG00000271134.1",22.2606338870771,4.11397606582606,0.341050202069473,12.0626700728007,1.66302509935825e-33,2.3102391187027e-31
"ENSG00000271252.1",2.75200279256949,3.33922648028188,0.483268260493777,6.90967471538488,4.8576626460943e-12,5.93402493844893e-11
"ENSG00000271303.2",3.16770832285626,1.11478604044842,0.316735896348005,3.51960751307952,0.000432185832786968,0.00129633209634109
