"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000004848",38.7626819723668,-5.63835897374631,0.930424560826412,-6.05998509834937,1.36134160057735e-09,1.54198767686973e-07,"ARX"
"ENSG00000004864",1800.84249782145,-0.665086283685558,0.19696066289328,-3.37674677732947,0.0007334854224482,0.00626296060744165,"SLC25A13"
"ENSG00000004866",1281.4552146128,0.31574655395506,0.165381293322532,1.90920355991703,0.0562358372493409,0.152052880866928,"ST7"
"ENSG00000004866",1281.4552146128,0.31574655395506,0.165381293322532,1.90920355991703,0.0562358372493409,0.152052880866928,"ST7-OT3"
"ENSG00000004897",3409.86083839261,0.00953855419297173,0.143791398142075,0.06633605567662,0.947110278151862,0.971630608836018,"CDC27"
"ENSG00000004939",3.29124335042986,-1.86511389848853,0.581334697984641,-3.20833059673621,0.00133507934738801,0.00980867368786738,"SLC4A1"
"ENSG00000004948",4.97183693855123,-1.44106029018821,0.559903584012649,-2.57376507551639,0.0100598553587659,0.043742263711945,"CALCR"
"ENSG00000004961",2163.50837835332,0.629757057446813,0.177390099508515,3.55012517153801,0.000385048024829458,0.00379734139515699,"HCCS"
"ENSG00000004975",2265.5936276664,-0.484152368714983,0.169935918655034,-2.84902904898993,0.00438528763021667,0.0238085882517213,"DVL2"
"ENSG00000005001",3907.76348475983,1.83228566287618,0.407147998568149,4.50029392093275,6.785956548391e-06,0.00015819217921262,"PRSS22"
"ENSG00000005007",8409.05820901589,-0.0433022702300223,0.125908839995167,-0.343917633040576,0.730908230614615,0.840841707586403,"UPF1"
"ENSG00000005020",2110.25212007889,0.999945092333545,0.199928783000912,5.00150642305957,5.68840715189507e-07,2.2057121936425e-05,"SKAP2"
"ENSG00000005022",26754.6628399446,0.959731141647339,0.230082366138401,4.17125031246434,3.0293287085968e-05,0.000518786794775882,"SLC25A5"
"ENSG00000005059",2317.58022841621,1.16576860791162,0.26037790912228,4.47721779409537,7.56220921561008e-06,0.000172725621142412,"MCUB"
"ENSG00000005073",367.743885064394,-2.18541895142883,0.48771024449488,-4.48097815474896,7.43017171530117e-06,0.000170587743889227,"HOXA11"
"ENSG00000005075",3074.30851975782,0.00174633684421095,0.28796408064637,0.00606442595302542,0.995161317820881,0.997719761050184,"POLR2J"
"ENSG00000005100",1561.99508101903,-0.289156886737253,0.176312001861959,-1.64002951406362,0.100999030467959,0.231065331353867,"DHX33"
"ENSG00000005102",118.882128067844,0.482090666232228,0.507072083319387,0.950733992446152,0.341739427792939,0.524376859927503,"MEOX1"
"ENSG00000005108",83.9680756378756,-1.99056960570212,0.526436247286623,-3.78121684432254,0.000156063660838487,0.0018850556697208,"THSD7A"
"ENSG00000005156",1490.6306241384,-0.350283473124769,0.163429773455876,-2.14332716565468,0.0320868369682809,0.102194317187096,"LIG3"
"ENSG00000005175",2188.6535671022,0.169460522793628,0.125652040584613,1.34864919029718,0.177449672769223,0.340074499245595,"RPAP3"
"ENSG00000005187",209.17054191289,-2.09760695877346,0.539024595809736,-3.89148653898136,9.96319176200892e-05,0.00133215855903359,"ACSM3"
"ENSG00000005189",570.311695419756,0.747509599394933,0.233707977276488,3.19847704004812,0.00138155533844665,0.0100650380648296,"REXO5"
"ENSG00000005194",3094.13459327956,-0.315644639625635,0.157477564785315,-2.00437846531311,0.0450295343366633,0.130324210609533,"CIAPIN1"
"ENSG00000005206",2781.86403458811,-0.442978369007848,0.250923557844584,-1.76539171057912,0.0774979555878656,0.191029746414676,"SPPL2B"
"ENSG00000005238",1537.38977358826,0.0818300154805585,0.262862722157549,0.311303233904399,0.75557010904863,0.857005561009245,"ATOSB"
"ENSG00000005243",1312.70068511089,1.51392454935993,0.460495405060816,3.28759968660272,0.00101045408047683,0.00795690335673016,"COPZ2"
