Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-MU-A8JM-01A-11R-A36F-07,0,0.0729863499531882,0.0128146855273597,0,0,0.269153457108161,0.0334618563854499,0,0,0,0.111680295514986,0.0076261961432529,0.0852797456764879,0.0497304166722681,0.0013882650190337,0.0117733254694092,0.143931017797965,0.0303851758629061,0.15939161545263,0,0,0.0103975974169026,0.25,0.109052686543196,1.02412953402891
TCGA-LP-A5U2-01A-11R-A28H-07,0,0.0357652639008709,0.417772510916419,0.144546638436504,0,0.071673568530866,0,0.0667684916410985,0,0,0.00931477133974853,0.0170193607026188,0,0,0.119831611320271,0.0404893100745149,0.0278944514482648,0,0.0366346209271033,0,0,0.0122894007617204,0,0.54215454977976,0.842255996062455
TCGA-EX-A1H6-01B-11R-A22U-07,0,0,0.371651980189875,0.0988421331995187,0,0.173994883446521,0,0.00569124889869061,0.0684186350867059,0,0.0951318758676129,0,0,0.0453497745062195,0.017969735057621,0,0,0.0666854259958144,0.0473510072044108,0,0.00891330054701073,0,0.05,0.26508143064979,0.981982992760222
TCGA-C5-A1BF-01B-11R-A13Y-07,0,0.00096615411926476,0.518434756437637,0,0,0.155792253385226,0.0264975682882891,0,0,0,0.0765915156832902,0.0190463920808306,0.0150908972220293,0.0165871972933834,0.0168718816328334,0.117502580695878,0,0.0201975478297867,0.0122479343381174,0,0,0.00417332099343351,0,0.650931452585336,0.785475838581027
TCGA-VS-A8QF-01A-21R-A37O-07,0,0.0248941558994087,0.561681959158977,0.0433254685271366,0,0.0423683620358601,0,0.0311752837375998,0.0190957690067297,0,0.0186242552365137,0.00344383595141649,0,0.0144110343768953,0.0727517012297774,0.0871642552166613,0.0112433995162076,0.0322543643812629,0.0243330446471974,0,0.0045357824236235,0.0086973286547324,0,0.82389432870184,0.663115199249285
TCGA-VS-A8QM-01A-11R-A37O-07,0,0.0138190930167773,0.267984552860299,0.179391355636791,0,0.238396822599531,0.0100428286746167,0.0198506676373689,0.0242528239541909,0,0.0516603352557852,0,0.00454398773097643,0.0348916891652944,0.0555318316647612,0.0440673346168415,0.0333790358086147,0.0119949396620071,0,0,0,0.0101927017161445,0,0.701846640442197,0.745871200823907
TCGA-C5-A1MJ-01A-11R-A14Y-07,0,0.00207838433825136,0.159088275453093,0.0569376903450886,0,0.091255536682835,0.0178818056320504,0,0.0231446487871838,0,0.0500743534495557,0,0.00462370085293121,0.146968365133092,0.125229430660383,0.180465066839051,0.141454112562199,0,0,0,0,0.000798629264286144,0.01,0.43930494596132,0.896357891448437
TCGA-C5-A1MN-01A-11R-A14Y-07,0,0.0773724179647729,0,0,0,0.106309747075939,0,0,0.0145559396316023,0,0.113770363423558,0,0,0.47959555152803,0.0128251214047115,0.00986455918622216,0,0.0417923053380763,0,0.116624322769319,0.00416452915776002,0.0231251425200085,0.01,0.392072693874133,0.94178756687036
TCGA-VS-A8EJ-01A-11R-A37O-07,0,0.0116624089225403,0.293900432025224,0.119965170376503,0,0.102678700330621,0,0.058143155616565,0.0499576163004719,0,0.0235989757639186,0.02765903372704,0.00677017788999526,0.0602504732271606,0.0856577220253679,0.106021806397697,0.0112207093796731,0,0.0298113634880306,0,0.0106194516832625,0.00208280284592966,0.07,0.213256960807284,0.998229213582788
TCGA-C5-A1MH-01A-11R-A14Y-07,0,0.0327840983658696,0.478259044514329,0.0822407278825563,0,0.00138965905143046,0.013310770775222,0.0393230856462303,0.002801633641285,0,0.0120798295626558,0.00800531239521648,0,0.0332883296548248,0.157316198847852,0.072158464731219,0.0158330885584754,0.00201775578781389,0.0434414354259217,0,0,0.00575056515909801,0,0.563888980669199,0.827960642875545
TCGA-VS-A8EB-01A-11R-A36F-07,0,0.0470894137283846,0.0238985779699965,0.00981880698215738,0,0.232186064802015,0,0.0146532790266392,0.0717163967333245,0,0,0.210711984558593,0,0.0523276028394241,0.0945750140963578,0.0675035004535015,0.0564888923185078,0,0.117037091066617,0,0,0.0019933754244818,0.1,0.187927681608582,1.04458229240562
TCGA-LP-A4AX-01A-12R-A24H-07,0,0,0.521419637550107,0.176440065090296,0,0.0348256813029711,0.0313883745414033,0.0371939927264986,0,0,0.0526191223562366,0,0,0,0.0434285539723646,0.0886220702968201,0.00946000651775212,0.000310169131492517,0.000733212226356508,0,0,0.00355911428770172,0,0.837928333683096,0.652930409504822
TCGA-MY-A5BF-01A-11R-A26T-07,0,0.0118179070246761,0.0645895206764347,0.178481122278664,0,0.115375108330489,0.0347954955935382,0.0333942388896951,0.00640196980055233,0,0.0531042436732072,0,0,0.0597859979866262,0.23193489169497,0.0883162784280639,0.0468051139342567,0,0.0703116527987785,0,0,0.00488645889004784,0.01,0.465191444315775,0.888587353374001
