"Gene","log2FC","pvalue","padj","baseMean"
"CYP2C8",0.518129575459663,0.110667845547987,0.192207497479544,5.28861085715811
"AC022966.2",-0.482800371259292,0.110725089692159,0.192295746053801,2.29240562776419
"TRPT1",-0.17480051512491,0.11077268116608,0.19236722160091,861.824420333952
"TEX13C",-1.81487646889631,0.110801874309897,0.192406740262079,1.42717442562482
"AC109597.1",1.04471086069456,0.110862796449553,0.192501348328204,0.709667305945383
"HIRA",-0.149356626059626,0.110906358690804,0.192565803553992,638.982211840079
"GPT2",-0.287931963008534,0.110917378135127,0.192573750782089,2815.55484948493
"XKR9",0.478704401316375,0.11099560537903,0.192688699525001,64.959814257177
"IGKV3OR2-268",0.749574456857094,0.111002924053945,0.192688699525001,49.0851134256315
"KIAA1210",-0.515007836398565,0.110997687177181,0.192688699525001,3.08381176393561
"PTGER4P2",0.480623222514252,0.111010887246809,0.192691332767065,1.86049294628281
"AC004039.1",0.383385508784919,0.111056283544801,0.192747745904965,3.19235538969109
"RPL17P36",0.306389137588069,0.111051639221764,0.192747745904965,17.3901842296822
"ZMIZ1",-0.172246158038852,0.111095476121597,0.192796535691397,8922.15079255241
"LINC02356",0.550670265705896,0.111097294503021,0.192796535691397,2.16694757916853
"DICER1",-0.168458756224701,0.111129805773603,0.192830565634442,5505.37938900884
"HMX1",0.791959181739135,0.111123413669155,0.192830565634442,29.9425232795315
"ZNF418",0.406351946833471,0.111154825436014,0.192862783952481,27.0702678532056
"AC140479.3",-1.10067860645263,0.111190091090061,0.192912775138667,1.7420312404479
"SRSF6P2",0.27738942218733,0.1112222121687,0.192957305057851,5.47378774663598
"AC012625.1",-0.582136802530415,0.111282913719325,0.193051410649299,3.18655291075834
"MMP27",-0.628038157131902,0.111298557160394,0.193067343932133,13.3366951760137
"TMEM170A",-0.131413632173632,0.111322608218202,0.193097859041287,890.836210436374
"TNFSF8",0.423224451861909,0.111344674452343,0.193124927975482,88.3460984049013
"ST8SIA6-AS1",-0.67113071995988,0.111361528296503,0.193142953515466,6.92689694452179
"PIFO",0.473478132071829,0.111393608924615,0.193187384426467,39.2222653060718
"AC007639.1",0.446018779950662,0.111513210204324,0.193383586437759,4.5122438547887
"AL049840.7",0.41688537994613,0.11155176310583,0.193439221647493,2.71583346767629
"SYT2",0.47489998682033,0.111561045225028,0.193444095589451,21.334308518614
"MRPL17",-0.163528488398704,0.111582413215038,0.193469924351736,3079.76954021973
"AL450226.2",-0.615271011480727,0.111683404429119,0.193633798804897,1.63628906735652
"AL049780.1",0.457378399880851,0.111699559076723,0.193650575334729,2.57212099971958
"AC016907.2",0.526200670929978,0.111725259733236,0.19367266666353,1.5966529930267
"GATA6-AS1",0.426336421399075,0.111720145974385,0.19367266666353,3.49678418700232
"USP9Y",0.832797491144432,0.111760319598465,0.193722207795727,853.460710935904
"SYN3-AS1",0.896459706832876,0.11178128007203,0.193747305109191,1.16067581221337
"SCYL2",-0.12930586156149,0.111865458773501,0.193881967510726,4331.88535527551
"ZNF251",0.228745679521458,0.111892014147981,0.193916749009244,667.055913905159
"ACTBP4",0.528165147622627,0.111929365368943,0.193970235353264,2.06731733665332
"MBNL2",-0.221071737251877,0.111958847739414,0.194010079804439,4199.08856257181
"GNAZ",0.435275427022894,0.111978378837141,0.194032676378171,108.253232779958
"RCBTB1",0.202789933730229,0.112001692166608,0.194043244230265,1128.96844562452
"AC068473.4",0.615044648198182,0.111994225607263,0.194043244230265,13.8274934192288
"AC100827.5",1.11793545493574,0.112003952092499,0.194043244230265,0.862571542609441
"AC018553.2",0.273350235054619,0.112023255048307,0.194065438418081,31.5984314344137
"REEP4",0.204257655703707,0.112062673949084,0.194111227309847,4750.81414625995
"CD14",-0.333045413498543,0.112057981822568,0.194111227309847,4417.50783607423
