"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"AC078850.1","ENSG00000248187.1","Downregulated",8.78366424168434,-2.08474471511761,2.2169823281944e-08,3.78685918596497e-07
"MEIG1","ENSG00000197889.10","Upregulated",9.07305672668569,1.39775302324842,2.2780910618126e-08,3.87573693908379e-07
"L3MBTL1","ENSG00000185513.17","Upregulated",64.7263200559292,1.2263341958571,2.29419970327117e-08,3.89934736840593e-07
"GAST","ENSG00000184502.4","Downregulated",136.383521621578,-2.30106622274536,2.33371982290083e-08,3.96361096284953e-07
"PI3","ENSG00000124102.5","Downregulated",88032.7298476152,-2.29222918124317,2.33947604798592e-08,3.96887730002243e-07
"PLEKHG4","ENSG00000196155.13","Upregulated",1285.24301256971,1.29136584651366,2.34755446124021e-08,3.98032319656224e-07
"FAM83E","ENSG00000105523.3","Upregulated",649.774296731894,1.69362447334334,2.34955019509439e-08,3.98144866393205e-07
"EEF1A1P33","ENSG00000258846.1","Upregulated",5.59937638424182,1.62375404036215,2.35446033347649e-08,3.98750868488835e-07
"NUP62CL","ENSG00000198088.10","Upregulated",160.264683190009,1.0412484472643,2.39490259568984e-08,4.05141077477989e-07
"ENDOU","ENSG00000111405.9","Downregulated",468.074380036742,-2.48051997274831,2.43832471167352e-08,4.12020363376737e-07
"KPNA4P1","ENSG00000213754.2","Upregulated",2.79172209733806,1.58328543614176,2.45117674559421e-08,4.13958052425435e-07
"NCR1","ENSG00000189430.13","Upregulated",18.4787961805696,1.62927382749315,2.51369325283429e-08,4.23797623878864e-07
"LCE2B","ENSG00000159455.9","Downregulated",84.3216385338189,-4.30190288829835,2.58603285635848e-08,4.35257286837092e-07
"AC011483.1","ENSG00000267879.2","Downregulated",14.1511903492278,-1.88961549597398,2.58550429978133e-08,4.35257286837092e-07
"MT2A","ENSG00000125148.7","Downregulated",25237.1777708485,-1.51831072306809,2.59829178401645e-08,4.37074496386155e-07
"AC026741.1","ENSG00000272103.2","Upregulated",4.91052528165124,1.4237432106889,2.73029174075459e-08,4.5876267967755e-07
"ZNF469","ENSG00000225614.4","Downregulated",1802.25911770041,-1.48797711905797,2.85351448422249e-08,4.7866024109079e-07
"AL133383.1","ENSG00000261729.2","Downregulated",3.49165413727666,-2.34407786017758,2.87332444186425e-08,4.80634662653644e-07
"SEMA6A","ENSG00000092421.17","Upregulated",936.488692577001,1.42517020126524,2.89849454258913e-08,4.84302956216179e-07
"ADGRD2","ENSG00000180264.11","Upregulated",42.2179852491079,1.60914902406026,2.92354671897547e-08,4.87943375341232e-07
"FBXO43","ENSG00000156509.14","Upregulated",46.6395101600252,1.32211529798188,2.94650541821299e-08,4.90952842593215e-07
"ACP7","ENSG00000183760.11","Downregulated",424.308281236035,-2.07886623828753,2.97552339847355e-08,4.95511673688977e-07
"LINC02031","ENSG00000238837.3","Downregulated",59.1680864893002,-2.09235801954609,2.97850956771836e-08,4.9573278395455e-07
"KCNJ10","ENSG00000177807.10","Upregulated",35.3706684086249,1.94239915960206,3.00031171359449e-08,4.98805994119947e-07
"ALDH1L1","ENSG00000144908.14","Upregulated",393.57593207371,2.27510615994646,3.02210832439653e-08,5.01871455738118e-07
"PCDHGA4","ENSG00000262576.3","Downregulated",76.5983227766397,-1.40239832069766,3.07159205192874e-08,5.09805827963652e-07
"KLK12","ENSG00000186474.15","Downregulated",1144.10028977132,-2.53031299582984,3.10426262100817e-08,5.14656784621055e-07
"SEMA6A-AS1","ENSG00000248445.5","Upregulated",9.07477121774278,1.47161823614797,3.12230865008308e-08,5.17075070184396e-07
"AL450263.1","ENSG00000228487.2","Upregulated",3.40612005079477,1.67835251421303,3.12739950535998e-08,5.17631373279183e-07
"AC046129.1","ENSG00000286351.1","Downregulated",24.550484540352,-3.16600771587253,3.13004923927451e-08,5.1778324217152e-07
"MICAL2","ENSG00000133816.17","Downregulated",5453.20906656447,-1.06200225139933,3.16312895391774e-08,5.22676897128297e-07
"TEX45","ENSG00000198723.11","Upregulated",6.5675190638984,1.66510597123245,3.17484532275724e-08,5.24312798963359e-07
"SIM1","ENSG00000112246.10","Upregulated",42.000620327473,3.18215490809222,3.18042109295546e-08,5.24664168380931e-07
"WARS2-IT1","ENSG00000224238.2","Upregulated",6.25339181851445,1.66840038124794,3.22344715904423e-08,5.30883099053169e-07
"MPP2","ENSG00000108852.15","Upregulated",185.802805370705,1.38327775832131,3.24955679698329e-08,5.34888500965994e-07
"STK16P1","ENSG00000259155.2","Upregulated",1.53985589289839,1.73697017443582,3.25491988549344e-08,5.35476418366373e-07
"MLXP1","ENSG00000226539.1","Downregulated",28.0278967797813,-3.53785761649661,3.27869937294867e-08,5.38795391182966e-07
"RNF32-AS1","ENSG00000224903.2","Upregulated",11.6227052793702,1.23212558789925,3.28633267465371e-08,5.39753056652466e-07
"AC211476.1","ENSG00000205584.6","Upregulated",1.40248869094352,2.25778232156816,3.30132091968607e-08,5.41916995778451e-07
