"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"HSPA12A","ENSG00000165868.16","Higher in HPV-negative",801.81,-1.039,1.02e-08,1.94e-07
"AC008443.3","ENSG00000248514.1","Higher in HPV-positive",6.36,1.769,1.02e-08,1.94e-07
"AC079140.3","ENSG00000251188.1","Higher in HPV-positive",5.93,2.114,1.03e-08,1.97e-07
"FN1","ENSG00000115414.21","Higher in HPV-negative",160528.01,-1.839,1.04e-08,1.98e-07
"ITPKA","ENSG00000137825.11","Higher in HPV-positive",142.77,1.293,1.04e-08,1.98e-07
"SLAMF9","ENSG00000162723.10","Higher in HPV-negative",119.46,-2.123,1.04e-08,1.98e-07
"IFI27","ENSG00000165949.12","Higher in HPV-negative",42849.62,-1.344,1.07e-08,2.03e-07
"KIRREL2","ENSG00000126259.20","Higher in HPV-positive",23.47,2.312,1.07e-08,2.03e-07
"PC","ENSG00000173599.15","Higher in HPV-negative",4727.21,-1.114,1.09e-08,2.07e-07
"RRM2P3","ENSG00000214018.3","Higher in HPV-positive",8.37,1.775,1.1e-08,2.08e-07
"LINC02015","ENSG00000231574.6","Higher in HPV-negative",26.36,-2.258,1.1e-08,2.08e-07
"SLC24A2","ENSG00000155886.11","Higher in HPV-negative",117.29,-1.751,1.11e-08,2.09e-07
"APCDD1L","ENSG00000198768.11","Higher in HPV-negative",517.67,-1.884,1.13e-08,2.12e-07
"IRX1","ENSG00000170549.4","Higher in HPV-negative",81.73,-2.772,1.14e-08,2.15e-07
"ARSJ","ENSG00000180801.14","Higher in HPV-negative",1493.88,-1.177,1.16e-08,2.18e-07
"AL049637.1","ENSG00000284700.1","Higher in HPV-positive",8.92,3.272,1.17e-08,2.19e-07
"MYO3B","ENSG00000071909.19","Higher in HPV-negative",279.6,-2.039,1.17e-08,2.2e-07
"AL121992.1","ENSG00000237301.1","Higher in HPV-positive",5.09,1.505,1.17e-08,2.2e-07
"LRRC37A9P","ENSG00000271013.1","Higher in HPV-positive",11,1.675,1.2e-08,2.23e-07
"AC026348.1","ENSG00000240751.1","Higher in HPV-positive",1.42,1.754,1.21e-08,2.25e-07
"AC239859.5","ENSG00000277702.1","Higher in HPV-negative",9.21,-1.938,1.21e-08,2.26e-07
