"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"CEACAM22P","ENSG00000230666.5","Higher in HPV-positive",2.74,1.594,3.28e-05,0.000224
"LCE3A","ENSG00000185962.1","Higher in HPV-negative",476.09,-2.259,3.29e-05,0.000224
"AC020916.2","ENSG00000267582.1","Higher in HPV-positive",1.63,1.278,3.31e-05,0.000225
"FRG1JP","ENSG00000215548.2","Higher in HPV-positive",16.46,1.449,3.31e-05,0.000226
"AC106897.1","ENSG00000249679.2","Higher in HPV-positive",15.8,1.198,3.32e-05,0.000226
"COL17A1","ENSG00000065618.21","Higher in HPV-negative",94637.95,-1.141,3.36e-05,0.000229
"OR6T1","ENSG00000181499.2","Higher in HPV-positive",1.32,2.157,3.36e-05,0.000229
"SLITRK6","ENSG00000184564.11","Higher in HPV-negative",1359.97,-1.494,3.42e-05,0.000232
"HHIP-AS1","ENSG00000248890.2","Higher in HPV-negative",18.53,-1.483,3.43e-05,0.000232
"SLC30A8","ENSG00000164756.12","Higher in HPV-negative",13.39,-2.359,3.45e-05,0.000234
"AC007159.1","ENSG00000261146.1","Higher in HPV-positive",2.32,6.338,3.45e-05,0.000234
"FGD5P1","ENSG00000275340.1","Higher in HPV-positive",10.08,1.774,3.46e-05,0.000234
"TLCD3B","ENSG00000149926.13","Higher in HPV-positive",26.65,1.588,3.48e-05,0.000235
"HTRA3","ENSG00000170801.10","Higher in HPV-negative",4114.04,-1.113,3.48e-05,0.000235
"SDAD1P2","ENSG00000230750.1","Higher in HPV-negative",19.16,-2.236,3.48e-05,0.000235
"CBS","ENSG00000160200.18","Higher in HPV-positive",36.57,1.666,3.52e-05,0.000238
"LINC01050","ENSG00000271216.2","Higher in HPV-negative",14.02,-1.496,3.52e-05,0.000238
"KCNH5","ENSG00000140015.20","Higher in HPV-positive",7.65,1.99,3.53e-05,0.000238
"MMP11","ENSG00000099953.10","Higher in HPV-negative",11899.58,-1.394,3.54e-05,0.000239
"REELD1","ENSG00000250673.2","Higher in HPV-positive",4.49,1.402,3.54e-05,0.000239
"TREX2","ENSG00000183479.12","Higher in HPV-negative",283.35,-1.405,3.57e-05,0.000241
"TTC24","ENSG00000187862.12","Higher in HPV-positive",16.98,1.278,3.6e-05,0.000243
"GZMM","ENSG00000197540.8","Higher in HPV-positive",90.18,1.229,3.61e-05,0.000243
"WNT5A-AS1","ENSG00000244586.1","Higher in HPV-negative",128.99,-1.125,3.61e-05,0.000243
"AC022079.1","ENSG00000273989.1","Higher in HPV-negative",5.88,-1.541,3.62e-05,0.000244
"AL390718.1","ENSG00000261817.1","Higher in HPV-negative",1.76,-2.224,3.64e-05,0.000245
"C6orf223","ENSG00000181577.16","Higher in HPV-positive",180.56,1.591,3.69e-05,0.000248
"AC073365.1","ENSG00000223812.8","Higher in HPV-negative",92.34,-2.758,3.69e-05,0.000248
"AC012569.1","ENSG00000267293.1","Higher in HPV-positive",4.05,1.139,3.7e-05,0.000248
"GLULP4","ENSG00000178723.7","Higher in HPV-positive",3.63,1.262,3.7e-05,0.000248
"AL451069.1","ENSG00000226900.2","Higher in HPV-negative",6.86,-2.695,3.72e-05,0.00025
"AL031289.2","ENSG00000287743.1","Higher in HPV-negative",5.56,-1.491,3.74e-05,0.000251
"AL138701.2","ENSG00000287923.1","Higher in HPV-negative",10.97,-2.208,3.75e-05,0.000252
"CCNB3","ENSG00000147082.18","Higher in HPV-positive",21.22,1.04,3.79e-05,0.000254
"LINC00536","ENSG00000249917.3","Higher in HPV-negative",4.88,-1.388,3.79e-05,0.000254
"ANKS1B","ENSG00000185046.18","Higher in HPV-positive",12.66,1.136,3.79e-05,0.000254
"LINC01748","ENSG00000226476.6","Higher in HPV-negative",145.8,-1.802,3.8e-05,0.000254
"C8orf88","ENSG00000253250.3","Higher in HPV-positive",30.74,1.337,3.8e-05,0.000254
"ADGRG2","ENSG00000173698.18","Higher in HPV-positive",49.54,1.073,3.81e-05,0.000255
"AC078842.1","ENSG00000228031.4","Higher in HPV-positive",0.85,2.105,3.82e-05,0.000255
"AC077690.1","ENSG00000270207.2","Higher in HPV-positive",7.18,2.85,3.86e-05,0.000258
"C15orf56","ENSG00000176753.5","Higher in HPV-positive",10.54,1.444,3.87e-05,0.000259
"GNGT1","ENSG00000127928.13","Higher in HPV-negative",133.28,-1.237,3.92e-05,0.000262
"LINC00926","ENSG00000247982.6","Higher in HPV-positive",44.13,1.075,3.93e-05,0.000262
"AC010947.1","ENSG00000278902.1","Higher in HPV-negative",1.57,-2.513,3.93e-05,0.000262
"AC015911.3","ENSG00000267074.1","Higher in HPV-positive",15.99,1.206,3.94e-05,0.000262
"MIR3164","ENSG00000265539.1","Higher in HPV-negative",1.69,-2.101,3.95e-05,0.000263
"SOST","ENSG00000167941.3","Higher in HPV-negative",148.01,-1.82,3.97e-05,0.000264
"AC005014.3","ENSG00000272537.1","Higher in HPV-negative",3.35,-1.893,3.97e-05,0.000264
"AC011611.2","ENSG00000257329.1","Higher in HPV-negative",3.31,-2.298,3.97e-05,0.000264
"MRPL45P1","ENSG00000232508.1","Higher in HPV-negative",6.08,-2.04,3.97e-05,0.000264
"GDF15","ENSG00000130513.6","Higher in HPV-positive",529.7,1.476,3.99e-05,0.000265
"NECAB1","ENSG00000123119.12","Higher in HPV-positive",45.24,1.191,4e-05,0.000266
"PAPPA2","ENSG00000116183.11","Higher in HPV-negative",51.37,-1.555,4.02e-05,0.000267
"TBC1D27P","ENSG00000128438.10","Higher in HPV-positive",10.2,1.747,4.15e-05,0.000274
"OR6D1P","ENSG00000224402.2","Higher in HPV-negative",8.65,-1.227,4.18e-05,0.000276
"VIPR2","ENSG00000106018.14","Higher in HPV-positive",17.53,1.515,4.21e-05,0.000277
"LRRTM2","ENSG00000146006.8","Higher in HPV-negative",29.75,-1.121,4.23e-05,0.000279
"FAM180A","ENSG00000189320.9","Higher in HPV-negative",79.86,-1.204,4.25e-05,0.00028
"ZNF474","ENSG00000164185.6","Higher in HPV-negative",88.33,-1.432,4.27e-05,0.000281
"AC020907.1","ENSG00000179066.8","Higher in HPV-positive",90.44,1.645,4.27e-05,0.000281
"RBX1P2","ENSG00000251050.1","Higher in HPV-positive",3,1.353,4.28e-05,0.000281
"ASB12","ENSG00000198881.10","Higher in HPV-positive",14.03,1.687,4.3e-05,0.000282
"ELOVL3","ENSG00000119915.5","Higher in HPV-positive",52.89,1.044,4.31e-05,0.000283
"DNAJB6P3","ENSG00000231802.1","Higher in HPV-negative",4.39,-2.181,4.34e-05,0.000285
"PARM1-AS1","ENSG00000249717.1","Higher in HPV-positive",1.02,2.489,4.36e-05,0.000286
"AC109479.1","ENSG00000253163.1","Higher in HPV-negative",4.97,-1.244,4.38e-05,0.000287
"NOL4","ENSG00000101746.15","Higher in HPV-positive",1.91,2.179,4.38e-05,0.000287
"CAND2","ENSG00000144712.12","Higher in HPV-positive",242.66,1.216,4.38e-05,0.000287
"AC016877.3","ENSG00000271930.1","Higher in HPV-positive",10.33,1.18,4.4e-05,0.000288
"CD96","ENSG00000153283.13","Higher in HPV-positive",457.3,1.001,4.41e-05,0.000289
"NFE2","ENSG00000123405.14","Higher in HPV-negative",70.88,-1.103,4.42e-05,0.000289
"LINC00892","ENSG00000233093.6","Higher in HPV-positive",7.25,1.163,4.42e-05,0.000289
"AC245100.2","ENSG00000225871.2","Higher in HPV-positive",4.31,1.005,4.43e-05,0.000289
"VSIG8","ENSG00000243284.1","Higher in HPV-negative",34.11,-2.336,4.45e-05,0.00029
"AC024581.1","ENSG00000249894.1","Higher in HPV-negative",8.14,-1.516,4.49e-05,0.000293
"IL17A","ENSG00000112115.7","Higher in HPV-positive",7.93,1.851,4.5e-05,0.000293
"TMSB4Y","ENSG00000154620.6","Higher in HPV-positive",20.26,2.033,4.52e-05,0.000294
"TSSK3","ENSG00000162526.7","Higher in HPV-positive",3.17,1.105,4.52e-05,0.000294
"LINC01449","ENSG00000224017.2","Higher in HPV-negative",3.36,-1.521,4.53e-05,0.000294
"TTC34","ENSG00000215912.12","Higher in HPV-positive",9.75,1.083,4.53e-05,0.000295
"EGFR-AS1","ENSG00000224057.1","Higher in HPV-negative",12.18,-1.24,4.53e-05,0.000295
"DCN","ENSG00000011465.18","Higher in HPV-negative",20185.4,-1.045,4.54e-05,0.000295
"P2RY8","ENSG00000182162.11","Higher in HPV-positive",378.54,1.058,4.61e-05,0.000299
"AC092353.2","ENSG00000286062.1","Higher in HPV-negative",7.47,-2.097,4.66e-05,0.000302
"BCL2L1-AS1","ENSG00000236559.1","Higher in HPV-positive",2.34,1.077,4.71e-05,0.000305
"AC089983.1","ENSG00000257732.1","Higher in HPV-negative",9.67,-1.86,4.74e-05,0.000307
"FCRL4","ENSG00000163518.11","Higher in HPV-positive",16.67,1.8,4.81e-05,0.000311
"ROPN1","ENSG00000065371.17","Higher in HPV-negative",5.61,-2.312,4.81e-05,0.000311
"GALR3","ENSG00000128310.3","Higher in HPV-positive",1.92,1.442,4.82e-05,0.000311
"AC027277.2","ENSG00000260310.1","Higher in HPV-positive",3.11,1.257,4.83e-05,0.000311
"AF131215.4","ENSG00000254936.4","Higher in HPV-positive",2.06,1.399,4.87e-05,0.000314
"ANOS2P","ENSG00000241859.7","Higher in HPV-positive",32.47,2.271,4.87e-05,0.000314
"INSYN2B","ENSG00000204767.4","Higher in HPV-negative",42.84,-1.368,4.88e-05,0.000315
"FRMD5","ENSG00000171877.21","Higher in HPV-negative",108.71,-1.224,4.91e-05,0.000316
"TRNP1","ENSG00000253368.4","Higher in HPV-negative",739.72,-1.002,4.92e-05,0.000317
"AF222685.1","ENSG00000288555.1","Higher in HPV-negative",8.06,-2.233,4.94e-05,0.000317
"CD247","ENSG00000198821.11","Higher in HPV-positive",408.79,1.044,4.94e-05,0.000318
"AL513477.1","ENSG00000269896.2","Higher in HPV-positive",53.17,1.11,4.96e-05,0.000318
"RGS4","ENSG00000117152.14","Higher in HPV-negative",682.68,-1.177,4.99e-05,0.00032
"LCEP3","ENSG00000285753.1","Higher in HPV-negative",37.87,-2.125,5.01e-05,0.000321
"RNU4ATAC18P","ENSG00000251988.1","Higher in HPV-positive",2.72,1.126,5.03e-05,0.000322
"ALG13-AS1","ENSG00000229487.1","Higher in HPV-positive",2.44,1.053,5.06e-05,0.000324
"AC084782.3","ENSG00000277245.1","Higher in HPV-positive",2.29,1.15,5.06e-05,0.000324
"AC026355.4","ENSG00000277241.1","Higher in HPV-negative",3.68,-1.996,5.06e-05,0.000324
"DCAF12L2","ENSG00000198354.7","Higher in HPV-negative",13.18,-1.91,5.07e-05,0.000324
"AC109449.1","ENSG00000259940.2","Higher in HPV-positive",5.61,1.02,5.08e-05,0.000325
"LINC01522","ENSG00000237423.3","Higher in HPV-negative",50.04,-1.744,5.09e-05,0.000325
"MYOM2","ENSG00000036448.10","Higher in HPV-positive",503.3,1.536,5.1e-05,0.000326
"HERC2P7","ENSG00000274471.2","Higher in HPV-positive",33.84,1.081,5.1e-05,0.000326
"PINCR","ENSG00000224294.1","Higher in HPV-positive",0.61,2.671,5.1e-05,0.000326
"CCDC110","ENSG00000168491.10","Higher in HPV-positive",26.81,1.032,5.14e-05,0.000328
"AC104459.1","ENSG00000286802.1","Higher in HPV-negative",15.13,-1.692,5.14e-05,0.000328
"GRAP2","ENSG00000100351.17","Higher in HPV-positive",185.7,1.008,5.16e-05,0.000329
"AC015802.3","ENSG00000267543.1","Higher in HPV-positive",5.13,1.059,5.16e-05,0.000329
"SERPINA12","ENSG00000165953.10","Higher in HPV-negative",20.65,-2.458,5.18e-05,0.00033
"KRT23","ENSG00000108244.17","Higher in HPV-negative",1586.3,-1.534,5.2e-05,0.000331
"GOLGA8VP","ENSG00000259236.1","Higher in HPV-positive",3.75,1.371,5.21e-05,0.000332
"LINC00165","ENSG00000261706.1","Higher in HPV-negative",36.63,-2.525,5.25e-05,0.000334
"UPK3BP1","ENSG00000242435.1","Higher in HPV-positive",1.37,1.569,5.26e-05,0.000334
"ANO4","ENSG00000151572.18","Higher in HPV-positive",82.19,1.619,5.28e-05,0.000335
"LINC01343","ENSG00000237290.2","Higher in HPV-negative",18.89,-2.004,5.29e-05,0.000336
"AC092821.1","ENSG00000214776.12","Higher in HPV-positive",12.22,1.702,5.3e-05,0.000337
"CLDN16","ENSG00000113946.4","Higher in HPV-positive",116.84,1.085,5.32e-05,0.000337
"RNF182","ENSG00000180537.13","Higher in HPV-positive",40.21,1.31,5.32e-05,0.000337
"AC005332.7","ENSG00000278740.1","Higher in HPV-positive",2.34,1.327,5.35e-05,0.000339
"AL161669.4","ENSG00000288610.1","Higher in HPV-positive",5.46,1.664,5.36e-05,0.00034
"PANX2","ENSG00000073150.14","Higher in HPV-negative",838.07,-1.304,5.41e-05,0.000342
"LINC02242","ENSG00000249736.1","Higher in HPV-negative",2.98,-2.08,5.46e-05,0.000345
"AC078925.4","ENSG00000280002.1","Higher in HPV-negative",87.54,-2.856,5.5e-05,0.000348
"AC007485.1","ENSG00000275710.1","Higher in HPV-positive",2.68,1.024,5.59e-05,0.000353
"AL929091.1","ENSG00000287338.1","Higher in HPV-positive",3.54,1.299,5.59e-05,0.000353
"FMO6P","ENSG00000117507.6","Higher in HPV-positive",24.44,2.09,5.61e-05,0.000354
"LINC01980","ENSG00000225548.7","Higher in HPV-negative",151.49,-1.801,5.64e-05,0.000356
"EOMES","ENSG00000163508.13","Higher in HPV-positive",139.69,1.156,5.65e-05,0.000356
"TNPO1P2","ENSG00000230662.1","Higher in HPV-negative",4.22,-2.204,5.78e-05,0.000364
"PLA2G4E","ENSG00000188089.13","Higher in HPV-negative",3813.83,-1.514,5.79e-05,0.000364
"AL356113.1","ENSG00000286951.1","Higher in HPV-positive",1.79,1.082,5.81e-05,0.000365
"TRBJ2-3","ENSG00000211767.1","Higher in HPV-positive",1.73,1.35,5.83e-05,0.000366
"GABRA3","ENSG00000011677.13","Higher in HPV-negative",293.13,-1.251,5.86e-05,0.000367
"TTC23L","ENSG00000205838.14","Higher in HPV-positive",10.79,1.045,5.86e-05,0.000368
"ZDHHC8P1","ENSG00000133519.12","Higher in HPV-negative",43.64,-1.413,5.87e-05,0.000368
"AC090241.2","ENSG00000270112.4","Higher in HPV-positive",4.86,1.192,5.96e-05,0.000374
"AL022100.1","ENSG00000227722.2","Higher in HPV-negative",2.56,-1.406,6.01e-05,0.000376
"ASB4","ENSG00000005981.13","Higher in HPV-positive",12.81,1.758,6.07e-05,0.000379
"AL391001.1","ENSG00000269887.1","Higher in HPV-positive",12.57,1.182,6.13e-05,0.000382
"AC002984.1","ENSG00000267005.1","Higher in HPV-positive",0.79,1.921,6.16e-05,0.000384
"AC099677.1","ENSG00000230953.2","Higher in HPV-positive",5.38,1.177,6.17e-05,0.000385
"EMILIN1","ENSG00000138080.14","Higher in HPV-negative",3903.77,-1.018,6.18e-05,0.000385
"AC245047.5","ENSG00000241207.1","Higher in HPV-positive",2.18,2.401,6.21e-05,0.000387
"AC079298.3","ENSG00000280241.4","Higher in HPV-negative",16.4,-1.152,6.21e-05,0.000387
"GPC6","ENSG00000183098.11","Higher in HPV-negative",776.68,-1.313,6.27e-05,0.00039
"ZNF347","ENSG00000197937.13","Higher in HPV-positive",210.37,1.008,6.29e-05,0.000391
"LINC02044","ENSG00000243795.1","Higher in HPV-positive",3.3,1.147,6.35e-05,0.000394
"MRGPRX3","ENSG00000179826.7","Higher in HPV-negative",139.08,-1.704,6.36e-05,0.000395
"BOK-AS1","ENSG00000234235.1","Higher in HPV-negative",8.4,-3.117,6.37e-05,0.000395
"DNAI1","ENSG00000122735.16","Higher in HPV-positive",6.06,2.167,6.38e-05,0.000396
"AL451085.1","ENSG00000270361.1","Higher in HPV-positive",3.18,1.042,6.39e-05,0.000396
"ADAMTSL1","ENSG00000178031.17","Higher in HPV-negative",230.22,-1.072,6.43e-05,0.000399
"KRT8P26","ENSG00000214659.4","Higher in HPV-negative",27.52,-1.822,6.45e-05,0.000399
"ANKRD36BP2","ENSG00000230006.7","Higher in HPV-positive",87.64,1.53,6.47e-05,0.000401
"ZNF711","ENSG00000147180.17","Higher in HPV-positive",257.17,1.1,6.5e-05,0.000402
"ADGRF5P1","ENSG00000227582.2","Higher in HPV-positive",12.36,1.141,6.5e-05,0.000402
"TRPV3","ENSG00000167723.15","Higher in HPV-negative",824.87,-1.12,6.51e-05,0.000403
"AC138409.1","ENSG00000215156.5","Higher in HPV-positive",7.59,1.225,6.54e-05,0.000404
"AF287957.1","ENSG00000271743.1","Higher in HPV-positive",2.37,1.255,6.55e-05,0.000405
"AL096816.1","ENSG00000280135.1","Higher in HPV-positive",14.3,1.415,6.57e-05,0.000406
"E2F3P1","ENSG00000267046.1","Higher in HPV-positive",4.08,1.028,6.59e-05,0.000407
"AC023906.5","ENSG00000259712.1","Higher in HPV-negative",25.95,-1.139,6.61e-05,0.000408
"CPXM1","ENSG00000088882.8","Higher in HPV-negative",1407.22,-1.002,6.68e-05,0.000412
"LINC02809","ENSG00000276255.2","Higher in HPV-positive",2.54,1.42,6.69e-05,0.000412
"AP002812.5","ENSG00000255449.1","Higher in HPV-positive",1.71,1.281,6.76e-05,0.000415
"TUBA5P","ENSG00000214796.8","Higher in HPV-positive",85.03,1.163,6.78e-05,0.000416
"KIRREL3","ENSG00000149571.12","Higher in HPV-negative",38.68,-1.177,6.79e-05,0.000417
"TRIM16L","ENSG00000108448.21","Higher in HPV-negative",1607.94,-1.148,6.8e-05,0.000417
"PLA2G2D","ENSG00000117215.15","Higher in HPV-positive",201.06,1.746,6.8e-05,0.000418
"AC091868.1","ENSG00000184084.7","Higher in HPV-positive",2.16,1.121,6.81e-05,0.000418
"CCER2","ENSG00000262484.1","Higher in HPV-positive",4.94,1.605,6.81e-05,0.000418
"AL079303.1","ENSG00000258661.1","Higher in HPV-positive",45.96,1.497,6.85e-05,0.00042
"SLC13A5","ENSG00000141485.17","Higher in HPV-negative",465.25,-2.031,6.85e-05,0.00042
"ARHGAP40","ENSG00000124143.10","Higher in HPV-negative",194.78,-1.406,6.91e-05,0.000423
"AC007637.1","ENSG00000256139.2","Higher in HPV-positive",6.21,1.062,6.94e-05,0.000425
"FIBIN","ENSG00000176971.4","Higher in HPV-negative",442.55,-1.265,6.95e-05,0.000425
"POU5F2","ENSG00000248483.7","Higher in HPV-positive",3.5,1.301,6.98e-05,0.000427
"CD40LG","ENSG00000102245.8","Higher in HPV-positive",37.27,1.294,7.01e-05,0.000429
"TDRD1","ENSG00000095627.9","Higher in HPV-negative",38.29,-1.805,7.08e-05,0.000432
"S100A15A","ENSG00000224784.2","Higher in HPV-negative",12.12,-1.885,7.09e-05,0.000433
"LINC00311","ENSG00000179219.5","Higher in HPV-negative",3.1,-1.567,7.12e-05,0.000435
"E2F3P2","ENSG00000203435.2","Higher in HPV-positive",1.2,1.396,7.17e-05,0.000437
"AL161640.2","ENSG00000286210.1","Higher in HPV-negative",12.22,-1.139,7.17e-05,0.000437
"ALKAL2","ENSG00000189292.16","Higher in HPV-positive",27.6,1.593,7.2e-05,0.000439
"GALNT15","ENSG00000131386.19","Higher in HPV-negative",559.18,-1.157,7.2e-05,0.000439
"FCRL6","ENSG00000181036.14","Higher in HPV-positive",36.64,1.218,7.23e-05,0.00044
"BTN1A1","ENSG00000124557.12","Higher in HPV-positive",4.95,1.268,7.25e-05,0.000441
"HOXB13","ENSG00000159184.8","Higher in HPV-positive",100.01,2.256,7.29e-05,0.000443
"DNM1P47","ENSG00000259660.2","Higher in HPV-positive",2.87,1.452,7.29e-05,0.000443
"AC093801.1","ENSG00000248388.5","Higher in HPV-negative",2.6,-1.566,7.3e-05,0.000444
"ST6GALNAC5","ENSG00000117069.15","Higher in HPV-negative",123.39,-1.013,7.37e-05,0.000447
"LGR6","ENSG00000133067.17","Higher in HPV-negative",335.88,-1.417,7.37e-05,0.000447
"AC004832.6","ENSG00000273428.3","Higher in HPV-positive",1.81,1.407,7.39e-05,0.000448
"AC024257.4","ENSG00000273765.1","Higher in HPV-positive",1.92,1.284,7.43e-05,0.00045
"MEGF10","ENSG00000145794.17","Higher in HPV-positive",435.22,1.441,7.43e-05,0.00045
"LINC01204","ENSG00000229563.7","Higher in HPV-negative",3.65,-1.847,7.43e-05,0.00045
"AL589935.2","ENSG00000276127.1","Higher in HPV-positive",2.07,2.885,7.43e-05,0.00045
"AC005753.3","ENSG00000287527.1","Higher in HPV-positive",3.9,1.153,7.48e-05,0.000453
"AC011287.1","ENSG00000229618.3","Higher in HPV-negative",76.1,-1.141,7.49e-05,0.000453
"CHRM3-AS2","ENSG00000233355.7","Higher in HPV-positive",25.06,1.245,7.56e-05,0.000457
"LINC00861","ENSG00000245164.8","Higher in HPV-positive",45.7,1.307,7.58e-05,0.000458
"KCTD4","ENSG00000180332.6","Higher in HPV-negative",7.19,-2.317,7.59e-05,0.000458
"DDN","ENSG00000181418.8","Higher in HPV-positive",615.27,1.64,7.59e-05,0.000458
"NLRP14","ENSG00000158077.5","Higher in HPV-positive",3.28,1.287,7.62e-05,0.00046
"AC131206.1","ENSG00000255836.1","Higher in HPV-negative",14.89,-1.872,7.68e-05,0.000463
"PLCD4","ENSG00000115556.14","Higher in HPV-negative",70.99,-1.162,7.71e-05,0.000465
"NDRG4","ENSG00000103034.14","Higher in HPV-negative",2571.07,-1.206,7.78e-05,0.000468
"PON1","ENSG00000005421.9","Higher in HPV-positive",2.21,2.37,7.81e-05,0.00047
"AC087164.2","ENSG00000279428.1","Higher in HPV-positive",0.99,2.064,7.83e-05,0.000471
"SSC5D","ENSG00000179954.16","Higher in HPV-negative",698.63,-1.063,7.84e-05,0.000472
"MT1P1","ENSG00000213761.4","Higher in HPV-negative",2.79,-1.194,7.85e-05,0.000472
"AC037441.1","ENSG00000248738.6","Higher in HPV-positive",2.54,2.792,7.92e-05,0.000476
"AC007991.4","ENSG00000254287.1","Higher in HPV-positive",3.14,1.896,8e-05,0.00048
"TMEM155","ENSG00000164112.13","Higher in HPV-positive",14.59,1.311,8.03e-05,0.000482
"SPRR2D","ENSG00000163216.7","Higher in HPV-negative",21224.99,-1.468,8.09e-05,0.000485
"TUBAP13","ENSG00000242575.1","Higher in HPV-negative",8.43,-2.335,8.09e-05,0.000485
"USH1C","ENSG00000006611.17","Higher in HPV-positive",27.33,2.274,8.15e-05,0.000488
"AL844892.2","ENSG00000287475.1","Higher in HPV-positive",2.39,1.257,8.15e-05,0.000488
"C11orf21","ENSG00000110665.12","Higher in HPV-positive",37.66,1.085,8.21e-05,0.000491
"TMIGD2","ENSG00000167664.8","Higher in HPV-positive",31.99,1.13,8.22e-05,0.000491
"LINC01597","ENSG00000205611.5","Higher in HPV-positive",19.9,1.295,8.23e-05,0.000492
"BCO2","ENSG00000197580.13","Higher in HPV-negative",114.28,-1.143,8.23e-05,0.000492
"EN1","ENSG00000163064.7","Higher in HPV-negative",464.83,-1.344,8.24e-05,0.000492
"FER1L4","ENSG00000088340.17","Higher in HPV-positive",126.18,1.09,8.27e-05,0.000494
"FST","ENSG00000134363.12","Higher in HPV-negative",6924,-1.023,8.34e-05,0.000498
"LINC00705","ENSG00000225269.3","Higher in HPV-negative",10.86,-1.239,8.37e-05,0.000499
"AC018616.1","ENSG00000253859.2","Higher in HPV-negative",2.8,-1.884,8.39e-05,5e-04
"TAFA5","ENSG00000219438.9","Higher in HPV-negative",244.1,-1.138,8.46e-05,0.000503
"ILDR2","ENSG00000143195.13","Higher in HPV-positive",35.77,1.142,8.47e-05,0.000504
"AC005291.2","ENSG00000273388.1","Higher in HPV-negative",6.46,-1.79,8.5e-05,0.000506
"AC005865.1","ENSG00000250770.3","Higher in HPV-negative",32.18,-1.475,8.53e-05,0.000507
"ERVV-2","ENSG00000268964.3","Higher in HPV-negative",12.54,-2.602,8.56e-05,0.000509
"AC244197.3","ENSG00000241489.8","Higher in HPV-positive",8.63,1.053,8.62e-05,0.000512
"AC023157.1","ENSG00000256843.1","Higher in HPV-negative",3.41,-1.861,8.72e-05,0.000517
"AC141557.1","ENSG00000256673.1","Higher in HPV-positive",16.55,1.148,8.72e-05,0.000517
"TAS2R60","ENSG00000185899.1","Higher in HPV-negative",3.08,-1.57,8.75e-05,0.000518
"CD81-AS1","ENSG00000238184.1","Higher in HPV-negative",6.75,-1.343,8.79e-05,0.00052
"AP006545.3","ENSG00000286677.1","Higher in HPV-positive",4.26,1.317,8.82e-05,0.000522
"ITIH1","ENSG00000055957.11","Higher in HPV-positive",4.81,1.217,8.87e-05,0.000524
"ELF3","ENSG00000163435.16","Higher in HPV-positive",5438.38,1.122,8.87e-05,0.000524
"LINC00494","ENSG00000235621.9","Higher in HPV-positive",11.01,1.708,8.86e-05,0.000524
"FLG","ENSG00000143631.11","Higher in HPV-negative",1548.11,-1.809,8.9e-05,0.000525
"LTA","ENSG00000226979.9","Higher in HPV-positive",54.83,1.009,8.93e-05,0.000527
"CDRT15P6","ENSG00000276832.2","Higher in HPV-positive",8.7,1.111,8.96e-05,0.000529
"NT5C3AP2","ENSG00000244720.1","Higher in HPV-positive",3.2,1.427,8.99e-05,0.00053
"CRABP2","ENSG00000143320.9","Higher in HPV-negative",12563.64,-1.11,9e-05,0.000531
"MAGEA10","ENSG00000124260.12","Higher in HPV-negative",128.78,-3.574,9.04e-05,0.000533
"CYP1B1","ENSG00000138061.12","Higher in HPV-positive",1386.57,1.368,9.04e-05,0.000533
"SBF1P1","ENSG00000248522.1","Higher in HPV-positive",1.34,2.257,9.09e-05,0.000535
"KCNK9","ENSG00000169427.8","Higher in HPV-negative",43.56,-1.3,9.19e-05,0.00054
"ATP5MFP2","ENSG00000228834.1","Higher in HPV-negative",8.63,-1.914,9.2e-05,0.000541
"AC011416.3","ENSG00000283897.2","Higher in HPV-positive",10.88,1.125,9.41e-05,0.000552
"ABCC12","ENSG00000140798.16","Higher in HPV-positive",5.74,2.493,9.42e-05,0.000552
"FAM163B","ENSG00000196990.9","Higher in HPV-positive",11.24,1.53,9.44e-05,0.000553
"GSDMC","ENSG00000147697.9","Higher in HPV-negative",2976.33,-1.004,9.5e-05,0.000556
"AP001347.1","ENSG00000224905.7","Higher in HPV-positive",11.65,1.049,9.5e-05,0.000556
"AC122134.1","ENSG00000261298.1","Higher in HPV-negative",1.31,-2.356,9.57e-05,0.000559
"SLCO1B3","ENSG00000111700.13","Higher in HPV-negative",156.58,-1.881,9.69e-05,0.000566
"AC131009.2","ENSG00000256955.2","Higher in HPV-negative",5.14,-1.387,9.81e-05,0.000572
"FOXC2","ENSG00000176692.8","Higher in HPV-negative",263.44,-1.234,9.87e-05,0.000575
"AC024084.1","ENSG00000230649.3","Higher in HPV-negative",3.44,-1.568,9.87e-05,0.000575
"RBPJL","ENSG00000124232.11","Higher in HPV-positive",6.04,1.623,9.89e-05,0.000576
"DPP4-DT","ENSG00000230918.2","Higher in HPV-negative",5.52,-1.529,9.9e-05,0.000577
"RAB44","ENSG00000255587.9","Higher in HPV-negative",33.79,-1.145,9.92e-05,0.000578
"PAX9","ENSG00000198807.13","Higher in HPV-positive",1784.32,1.063,9.93e-05,0.000578
"H2BU1","ENSG00000196890.4","Higher in HPV-negative",57.74,-1.06,9.96e-05,0.000579
"LINC02716","ENSG00000205106.4","Higher in HPV-negative",8.85,-1.166,9.97e-05,0.00058
"AC008735.1","ENSG00000267096.1","Higher in HPV-positive",5.39,1.1,0.000101,0.000585
"AL353743.2","ENSG00000230303.6","Higher in HPV-positive",2.05,1.352,0.000101,0.000588
"AC012485.1","ENSG00000225057.2","Higher in HPV-positive",3.65,1.113,0.000102,0.000589
"AL034550.2","ENSG00000277301.1","Higher in HPV-positive",2.21,1.261,0.000102,0.00059
"AC244502.1","ENSG00000251002.8","Higher in HPV-positive",10.88,1.104,0.000102,0.000592
